COMPANY,UNNAMED:_0,UNNAMED:_1,PROFIT/_(LOSS)_FROM_REVENUE,INVESTMENT_INCOME,OTHER_INCOMES,MANAGEMENT_EXPENSES,OTHER_EXPENSES,PROFIT/(LOSS)_BEFORE_TAXATION,PROVISION_FOR_TAXATION,PROFIT/(LOSS)_AFTER_TAXA-_TION,UNAPPRT’D_PROFIT/(_LOSS)_B/F,TRANSFER_TO_RESERVE,DIVIDEND,OTHER_AP-_PRTNS,UNAPPRRT’D_PROFIT/(LOSS)_C/F
Chartis (K),1,,268077.0,137144.0,0.0,0.0,37397.0,367824.0,111786.0,256038.0,141655.0,0.0,150000.0,0.0,247693.0
AMACO,2,,92005.0,75576.0,0.0,0.0,66847.0,100734.0,20014.0,80720.0,184810.0,0.0,0.0,0.0,265530.0
APA,3,,-80436.0,454551.0,-6456.0,-3657.0,128775.0,242541.0,53277.0,189264.0,1467206.0,0.0,21000.0,0.0,1635470.0
Blue Shield,4,,,,,,,,,,,,,,0.0
British America,5,,885616.0,0.0,0.0,0.0,0.0,885616.0,145642.0,739974.0,351098.0,0.0,500000.0,0.0,591072.0
Cannon,6,,-1031.0,316559.0,0.0,0.0,0.0,315528.0,28418.0,287110.0,389940.0,0.0,0.0,0.0,677050.0
CFC Life,7,,306423.0,737.0,0.0,0.0,0.0,307160.0,108801.0,198359.0,-653740.0,0.0,0.0,,-455381.0
Concord,8,,-48167.0,16788.0,31620.0,17922.0,0.0,-17681.0,-654.0,-17027.0,0.0,0.0,0.0,0.0,-17027.0
Cooperative,9,,163339.0,120071.0,63866.0,0.0,70000.0,277276.0,94617.0,182659.0,221326.0,-40000.0,31866.0,0.0,412119.0
Corporate,10,,4697.0,206894.0,,0.0,127723.0,83868.0,8241.0,75627.0,81550.0,0.0,0.0,0.0,157177.0
Directline,11,,-262.0,126127.0,0.0,49702.0,20979.0,55184.0,0.0,55184.0,0.0,0.0,0.0,0.0,55184.0
East Africa Re,12,,56836.0,131197.0,0.0,-3534.0,-38687.0,230254.0,49038.0,181216.0,428018.0,0.0,20150.0,0.0,589084.0
Fidelity Shield,13,,15313.0,239541.0,0.0,2491.0,30626.0,221737.0,48822.0,172915.0,171361.0,27313.0,9764.0,0.0,307199.0
First Assurance,14,,59320.0,172884.0,0.0,0.0,0.0,232204.0,36128.0,196076.0,129851.0,-128.0,15000.0,45000.0,266055.0
Gateway,15,,28826.0,0.0,0.0,0.0,0.0,28826.0,6336.0,22490.0,66230.0,0.0,0.0,0.0,88720.0
Geminia,16,,35432.0,62665.0,4932.0,3900.0,6572.0,92557.0,26795.0,65762.0,23200.0,0.0,0.0,0.0,88962.0
GA,17,,15011.0,170737.0,0.0,0.0,0.0,185748.0,50399.0,135349.0,249221.0,0.0,75000.0,0.0,309570.0
Heritage,18,,31680.0,255932.0,0.0,37739.0,-28666.0,278539.0,81377.0,197162.0,774112.0,6005.0,435000.0,0.0,530269.0
ICEA,19,,160950.0,236165.0,0.0,8326.0,3666.0,385123.0,124090.0,261033.0,721323.0,89050.0,127500.0,0.0,765806.0
Intra Africa,20,,27250.0,18199.0,63342.0,0.0,-1207.0,109998.0,14649.0,95349.0,6151.0,0.0,7500.0,50000.0,44000.0
Invesco,21,,21560.0,7899.0,0.0,0.0,10939.0,18520.0,3968.0,14552.0,-305962.0,0.0,0.0,0.0,-291410.0
Jubilee,22,,382186.0,807900.0,68626.0,0.0,0.0,1258712.0,144286.0,1114426.0,822335.0,-9514.0,0.0,0.0,1946275.0
Kenindia,23,,93216.0,420326.0,1982.0,9565.0,41836.0,464123.0,52117.0,412006.0,540749.0,0.0,0.0,0.0,952755.0
Kenya Orient,24,,-14269.0,16527.0,2486.0,0.0,0.0,4744.0,2367.0,2377.0,0.0,0.0,0.0,0.0,2377.0
Kenya Re,25,,75887.0,1434490.0,434335.0,615682.0,0.0,1329030.0,97643.0,1231387.0,5273363.0,-139682.0,300000.0,-994.0,6345426.0
Kenyan Alliance,26,,329846.0,0.0,0.0,0.0,0.0,329846.0,40416.0,289430.0,345382.0,0.0,0.0,100000.0,534812.0
Lion of Kenya,27,,146652.0,,455869.0,0.0,0.0,602521.0,164176.0,438345.0,884026.0,-2952.0,145000.0,,1180323.0
Madison,28,,55676.0,74430.0,0.0,0.0,0.0,130106.0,5216.0,124890.0,44555.0,0.0,0.0,0.0,169445.0
Mayfair,29,,-7358.0,41269.0,0.0,3656.0,,30255.0,7664.0,22591.0,-7314.0,0.0,0.0,-13965.0,29242.0
Mercantile,30,,67325.0,0.0,0.0,0.0,,67325.0,18513.0,48812.0,150910.0,120000.0,30000.0,0.0,49722.0
Occidental,31,,3577.0,74517.0,5330.0,22244.0,818.0,60362.0,16226.0,44136.0,32282.0,-26106.0,40950.0,0.0,61574.0
Pacis,32,,81667.0,0.0,0.0,0.0,0.0,81667.0,26615.0,55052.0,35537.0,0.0,0.0,33837.0,56752.0
Phoenix,33,,-34943.0,58435.0,171972.0,0.0,49634.0,145830.0,-14745.0,160575.0,318971.0,0.0,0.0,0.0,479546.0
Real,34,,29833.0,103340.0,0.0,386.0,32709.0,100078.0,12227.0,87851.0,82824.0,-52196.0,40000.0,0.0,182871.0
Tausi,35,,56331.0,102990.0,0.0,2049.0,9109.0,148163.0,34562.0,113601.0,83875.0,-950.0,33042.0,80474.0,84910.0
The Monarch,36,,-4061.0,5111.0,0.0,9923.0,2145.0,-11018.0,4122.0,-15140.0,-49741.0,0.0,0.0,0.0,-64881.0
Trident,37,,-9363.0,123823.0,190.0,11272.0,4947.0,98431.0,28238.0,70193.0,259013.0,-1068.0,20000.0,,310274.0
UAP Insurance,38,,105063.0,391335.0,41029.0,91154.0,0.0,446273.0,102730.0,343543.0,516389.0,0.0,204000.0,0.0,655932.0
Apollo Life,39,,69808.0,20342.0,,0.0,794.0,89356.0,23446.0,65910.0,0.0,0.0,0.0,0.0,65910.0
KNAC (2001),40,,46168.0,0.0,0.0,0.0,0.0,46168.0,5673.0,40495.0,81679.0,0.0,0.0,0.0,122174.0
Metropolitan Life,41,,-70798.0,32693.0,,5018.0,0.0,-43123.0,6155.0,-49278.0,-294476.0,0.0,0.0,0.0,-343754.0
OLD Mutual,42,,-505980.0,113042.0,0.0,0.0,74075.0,-467013.0,0.0,-467013.0,-120741.0,0.0,0.0,0.0,-587754.0
Pan Africa Life,43,,185000.0,0.0,0.0,0.0,0.0,185000.0,75942.0,109058.0,-34731.0,0.0,0.0,0.0,74327.0
Pioneer,44,,51781.0,3676.0,0.0,0.0,0.0,55457.0,6280.0,49177.0,41508.0,43394.0,0.0,-12554.0,59845.0
Shield Assurance,45,,,,,,,,,,,,,,0.0
Capex Life,46,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UAP Life,47,,-47964.0,0.0,0.0,0.0,0.0,-47964.0,0.0,-47964.0,-29662.0,0.0,0.0,0.0,-77626.0
TOTAL,,,3127719.0,6573912.0,1339123.0,883838.0,651031.0,9505885.0,1871613.0,7634272.0,13424083.0,13166.0,2205772.0,281798.0,18557619.0
Figures in Thousands Kshs.,,,,,,,,,,,,,,,
,Bima Bora Kwa Taifa,,,,,,,,,,,,,,
