COMPANY,NO.,PROFIT/(LOSS)_FROM_REVENUE,INVESTMENT_INCOME,OTHER_INCOMES,MANAGEMENT_EXPENSES,OTHER_EXPENSES,PROFIT/(LOSS)_BEFORE_TAXATION,PROVISION_FOR_TAXATION,PROFIT/(LOSS)_AFTER_TAXATION,UNAPPRTD_PROFIT/(LOSS)_B/F,TRANSFER_TO_RESERVE,DIVIDEND,OTHER_APPROPRIATIONS,UNAPPRRTD_PROFIT/(LOSS)_C/F,UNNAMED:_0,UNNAMED:_1
AIG Kenya,1,208331,269194,,,,477525,134341,343184,416536,-,-,-,759720,,
AMACO,2,50666,106787,,,61626,95827,28486,67341,117945,,,,185286,,
APA,3,11940,469816,76022,19987,302840,234951,94885,140066,1879426,,40000,250000,1729492,,
Apollo,4,-,12242,51162,-,-8660,72064,18313,53751,-,-,-,-,53751,,
Britam,5,1050166,-,-,-,,1050166,283062,767104,518001,-,550000,-,735105,,
Cannon,6,80130,294286,129416,,,503832,120982,382850,823160,-26582,28125,,1204467,,
Capex,7,-,-,-,-,-,-,-,-,-,-,-,-,-,,
CFC Life,8,378308,-,-,-,,378308,47279,331029,-312549,231028,100000,-75335,-237214,,
CIC General,9,392435,418304,119289,-,-,930028,255123,674905,981868,-,-,-,1656773,,
CIC Life,10,297697,-,-,-,-,297697,-,297697,651418,100000,-,-,849115,,
Corporate,11,6721,180134,-,-,,186855,16472,170383,180828,,69559,,281652,,
Directline,12,114767,303195,,56400,39023,322539,84171,238368,-,-,-,-,238368,,
East Africa Re,13,80009,340002,-,10125,25415,384471,101327,283144,536119,-,-11628,65000,765891,,
Fidelity Shield,14,29034,203835,,54668,,178201,40367,137834,404969,-,90136,,452667,,
First Assurance,15,115609,333512,-,-,,449121,119230,329891,450059,-128,70450,150000,559627,,
GA,16,73924,388193,-,-,-,462117,124801,337316,309771,-,200000,-,447087,,
Gateway,17,13323,-,-,-,,13323,-5201,18524,156922,-,-,,175446,,
Geminia,18,97352,151396,174229,,6466,416511,73977,342534,167085,,56250,174212,279157,,
Heritage,19,284655,442767,-,4892,58432,664098,118388,545710,737967,75333,400000,-,808344,,
ICEA Lion General,20,388732,532590,-,237985,49954,633383,219768,413615,1556636,-3136,82500,300000,1590887,,
ICEA Lion Life,21,280000,719010,-,59600,27070,912340,72967,839373,1170560,-,60000,-,1949933,,
Intra Africa,22,36455,21456,55527,-,-513,113951,22385,91566,67241,36000,7500,-,115307,,
Invesco,23,70964,45680,-,736,83789,32120,18351,13769,-214300,-,-,-,-200530,,
Jubilee,24,365822,409381,337244,-,-,1112447,225555,886892,2153712,-15613,300000,-,2756217,,
Kenindia,25,-,483800,2261,9853,304521,171687,783,170904,683962,-,-,,854866,,
Kenya Orient,26,85854,73069,25402,84585,,99740,47323,52417,39989,-,6500,-,85906,,
Kenya Re,27,-540554,2632444,205934,325238,-,1972586,116216,1856370,7608624,-,459873,5021,9000100,,
Kenyan Alliance,28,147260,-,-,-,-,147260,59236,88024,677730,-,-,-,765754,,
Madison,29,-167296,303813,-,-,,136517,,136517,173513,-,-,-,310030,,
Mayfair,30,-46301,99750,19751,2867,25428,44905,15633,29272,42619,-,12500,,59391,,
Mercantile,31,103476,-,36865,-,-,140341,11799,128542,66499,-,60000,-,135041,,
Metropolitan Life,32,-110678,53450,-,33977,-,-91205,11740,-102945,-478934,-,,,-581879,,
Occidental,33,54580,1109,123568,23798,1102,154357,40465,113892,59576,-,27720,-,145748,,
Old Mutual,34,-206872,186518,-,-,3346,-23700,-,-23700,-980940,-,-,-,-1004640,,
Pacis,35,62704,-,-,-,-,62704,18136,44568,92455,-,-,-,137023,,
Pan Africa,36,-,-,-,-,-,-,3953,-3953,-16567,,,,-20520,,
Phoenix,37,-32926,147478,12829,4647,68148,54586,-19356,73942,465610,-,-,-,539552,,
Pioneer,38,38964,2084,-,-,-,41048,9456,31592,80283,-31520,-,31520,111875,,
Real,39,124760,86090,-,371,8490,201989,59508,142481,284906,-,80000,,347387,,
Shield,40,26088,-,55350,-,-,81438,5797,75641,-53119,-,-,-,22522,,
Takaful,41,-75661,27031,-,-,-,-48630,-15393,-33237,-95827,-,-,-,-129064,,
