,COMPANY,PROFIT_TRANSFERRED_FROM_REVENUE,INVESTMENT_INCOME,OTHER_INCOME,TOTAL_INCOME,LOSS_TRANSFERRED_FROM_REVENUE,MANAGEMENT_EXPENSES,TOTAL_OUTGO,PROFIT_/_(LOSS)_BEFORE_TAXATION,PROVISION_FOR_TAXATION,PROFIT/(LOSS)_AFTER_TAXATION,UNAPPROPRI-_ATED_PROFIT/_(LOSS)_BF,TRANSFER_TO_RESERVES,OTHER_APPROPRIA-_TIONS,DIVIDEND,UNAPPROPRIATED_PROFIT_/_(LOSS)_CF
0,INSURERS,,,,,,,,,,,,,,,
1,AAR Insurance Kenya,62099,-,20556,82654,-,-,-,82654,36813,45841,-1340,-,-,-,44501
2,African Merchant Assurance,145097,-,-,145097,-,-,-,145097,12092,133005,-,-,-,-,133005
3,AIG Insurance Company,133309,299894,-,433203,-,-,-,433203,88754,344449,759722,150000,-,-,954171
4,APA Insurance Company,54104,681361,-,735465,-,-,176665,558801,116436,442365,1729491,-,-,130000,2041856
5,British American Insurance,637243,19097,348734,1005074,-,-,-,1005074,157109,847965,735105,57900,-,700000,825170
6,Cannon Assurance Company,191969,-,79633,271602,-,-,-,271602,10748,282350,847302,-,-,45000,1084652
7,CIC General Insurance Company,979058,-,-,979058,-,-,-,979058,251182,727876,1656773,-,-,507500,1877149
8,Corporate Insurance Company,9634,109123,-,118757,-,-,-,118757,14503,104254,-,-,-,-,104254
9,Directline Assurance Company,145938,-,-,145938,-,-,-,145938,25219,120719,-,-,-,-,120719
10,Fidelity Shield Insurance,46584,188249,4333,239166,-,33279,88193,150973,36387,114587,452666,-,-,30045,537207
11,First Assurance Company,159984,298429,25058,483472,-,-,-,483472,130354,353118,586979,-,-,112556,827541
12,Ga Insurance Company,583794,-,-,583794,-,-,-,583794,149264,434530,617627,-,150000,225000,677157
13,Gateway Insurance Company,172321,-,-,172321,-,-,-,172321,22405,149916,175446,-,-,-,325362
14,Geminia Insurance Company,332298,-,678,332976,-,278,6170,326806,97377,229429,279156,-,9217,90000,409368
15,Heritage Insurance Company,310409,419257,-,729666,-,8893,18539,711127,174215,536911,808343,140196,-,200000,1285450
16,ICEA Lion General Insurance,372853,672322,-,1045174,-,157190,172616,872558,232890,639668,1590888,-,-,180000,2050556
17,Intra-Africa Assurance,1241,26758,59357,87356,-,-5759,5337,82019,5502,76517,115308,-,-,7500,184325
18,Invesco Assurance Company,-,23721,12558,36278,74843,-,116877,-80598,396520,315922,-1438681,-,-,-,-1122759
19,Jubilee Insurance Company,882224,772,11,883007,-,-,-,883007,396366,486642,2756217,-,600000,500000,2142859
20,Kenindia Assurance Company,173723,409092,-11094,571721,-,14463,93701,478019,23402,454617,716125,-1760,-,-,1172502
21,Kenya Orient Insurance,124759,-,69750,194509,-,84231,84231,110278,19999,90278,85905,-,-,-,176184
22,Madison Insurance Company,-11428,82806,-,71378,-,-,-,71378,-,71378,310030,-,-,-,381408
23,Mayfair Insurance Company,50806,292012,8083,350901,-,1223,23164,327737,97614,230123,59390,-,-,14000,275513
24,Mercantile Insurance Company,-,58947,3087,62034,47055,2911,49965,12069,-,12069,135041,-,-,7500,139610
25,Occidental Insurance Company,64845,126459,72924,264229,-,28265,29605,234624,34673,199951,175748,-,-,51975,323724
26,Pacis Insurance Company,55116,-,233997,289113,-,-,6881,282232,30820,251412,-,-,8941,-,242471
27,Phoenix Of East Africa,-,232061,-,232061,57109,61662,118772,113289,-,113289,-,-,-,-,113289
28,Real Insurance Company,49387,83130,7743,140260,-,10933,10933,129327,26776,102551,347387,-,-,105000,344938
29,Resolution Health Insurance,76192,-,-,76192,-,-,-,76192,25780,50411,-,-,-,-,50411
30,Takaful Insurance of Africa,-,-,9744,9744,25995,-,25995,-16251,-,-16251,-,-,-,-,-16251
31,Tausi Assurance Company,102796,170838,-,273634,-,5234,14191,259443,71381,188063,144081,105736,-,50224,176183
32,The Kenyan Alliance Insurance,931334,-,-,931334,-,-,-,931334,35492,895842,765754,-,-,706000,955596
33,The Monarch Insurance,82,12410,32978,45470,-,3314,20062,25408,8474,16934,-6531,-,-,-,10403
34,Trident Insurance Company,157677,-,34800,192477,-,20967,29044,163433,42049,121384,-,-,-,-,121384
35,UAP Insurance Company,681645,935858,16330,1633832,-,400620,400620,1233213,199132,1034080,2595701,-,31402,420000,3178379
36,Xplico Insurance Company,191421,-,-,191421,-,55449,134779,56642,19129,37513,34322,-,-,-,71835
37,Total,7868514,5142596,1029260,14040368,205002,883153,1626340,12414030,2174321,10239708,17033955,171680,799560,4082300,22220122
38,REINSURERS,,,,,,,,,,,,,,,
39,Continental Reinsurance,31152,32305,168,63625,-,973,8724,54901,21986,32914,20741,-,-,-,53655
40,East African Reinsurance,108589,318513,76979,504081,-,-,27340,476741,122114,354627,765890,-,200000,40000,880517
41,Kenya Reinsurance Corporation,1859593,355346,333472,2548410,-,-,-,2548410,241197,2307213,-,-,-,-,2307213
42,Total,1999334,706164,410619,3116116,-,973,36064,3080052,385297,2694754,786631,-,200000,40000,3241385
43,Grand Total,9867848,5848760,1439879,17156484,205002,884126,1662404,15494082,2559618,12934462,17820586,171680,999560,4122300,25461507
44,Amounts in Thousand Shillings,,,,,,,,,,,,,,,
0,INSURERS,,,,,,,,,,,,,,,
1,AAR Insurance Kenya,62099,-,20556,82654,-,-,-,82654,36813,45841,-1340,-,-,-,44501
2,African Merchant Assurance,145097,-,-,145097,-,-,-,145097,12092,133005,-,-,-,-,133005
3,AIG Insurance Company,133309,299894,-,433203,-,-,-,433203,88754,344449,759722,150000,-,-,954171
4,APA Insurance Company,54104,681361,-,735465,-,-,176665,558801,116436,442365,1729491,-,-,130000,2041856
5,British American Insurance,637243,19097,348734,1005074,-,-,-,1005074,157109,847965,735105,57900,-,700000,825170
6,Cannon Assurance Company,191969,-,79633,271602,-,-,-,271602,10748,282350,847302,-,-,45000,1084652
7,CIC General Insurance Company,979058,-,-,979058,-,-,-,979058,251182,727876,1656773,-,-,507500,1877149
8,Corporate Insurance Company,9634,109123,-,118757,-,-,-,118757,14503,104254,-,-,-,-,104254
9,Directline Assurance Company,145938,-,-,145938,-,-,-,145938,25219,120719,-,-,-,-,120719
10,Fidelity Shield Insurance,46584,188249,4333,239166,-,33279,88193,150973,36387,114587,452666,-,-,30045,537207
11,First Assurance Company,159984,298429,25058,483472,-,-,-,483472,130354,353118,586979,-,-,112556,827541
12,Ga Insurance Company,583794,-,-,583794,-,-,-,583794,149264,434530,617627,-,150000,225000,677157
13,Gateway Insurance Company,172321,-,-,172321,-,-,-,172321,22405,149916,175446,-,-,-,325362
14,Geminia Insurance Company,332298,-,678,332976,-,278,6170,326806,97377,229429,279156,-,9217,90000,409368
15,Heritage Insurance Company,310409,419257,-,729666,-,8893,18539,711127,174215,536911,808343,140196,-,200000,1285450
16,ICEA Lion General Insurance,372853,672322,-,1045174,-,157190,172616,872558,232890,639668,1590888,-,-,180000,2050556
17,Intra-Africa Assurance,1241,26758,59357,87356,-,-5759,5337,82019,5502,76517,115308,-,-,7500,184325
18,Invesco Assurance Company,-,23721,12558,36278,74843,-,116877,-80598,396520,315922,-1438681,-,-,-,-1122759
19,Jubilee Insurance Company,882224,772,11,883007,-,-,-,883007,396366,486642,2756217,-,600000,500000,2142859
20,Kenindia Assurance Company,173723,409092,-11094,571721,-,14463,93701,478019,23402,454617,716125,-1760,-,-,1172502
21,Kenya Orient Insurance,124759,-,69750,194509,-,84231,84231,110278,19999,90278,85905,-,-,-,176184
22,Madison Insurance Company,-11428,82806,-,71378,-,-,-,71378,-,71378,310030,-,-,-,381408
23,Mayfair Insurance Company,50806,292012,8083,350901,-,1223,23164,327737,97614,230123,59390,-,-,14000,275513
24,Mercantile Insurance Company,-,58947,3087,62034,47055,2911,49965,12069,-,12069,135041,-,-,7500,139610
25,Occidental Insurance Company,64845,126459,72924,264229,-,28265,29605,234624,34673,199951,175748,-,-,51975,323724
26,Pacis Insurance Company,55116,-,233997,289113,-,-,6881,282232,30820,251412,-,-,8941,-,242471
27,Phoenix Of East Africa,-,232061,-,232061,57109,61662,118772,113289,-,113289,-,-,-,-,113289
28,Real Insurance Company,49387,83130,7743,140260,-,10933,10933,129327,26776,102551,347387,-,-,105000,344938
29,Resolution Health Insurance,76192,-,-,76192,-,-,-,76192,25780,50411,-,-,-,-,50411
30,Takaful Insurance of Africa,-,-,9744,9744,25995,-,25995,-16251,-,-16251,-,-,-,-,-16251
31,Tausi Assurance Company,102796,170838,-,273634,-,5234,14191,259443,71381,188063,144081,105736,-,50224,176183
32,The Kenyan Alliance Insurance,931334,-,-,931334,-,-,-,931334,35492,895842,765754,-,-,706000,955596
33,The Monarch Insurance,82,12410,32978,45470,-,3314,20062,25408,8474,16934,-6531,-,-,-,10403
34,Trident Insurance Company,157677,-,34800,192477,-,20967,29044,163433,42049,121384,-,-,-,-,121384
35,UAP Insurance Company,681645,935858,16330,1633832,-,400620,400620,1233213,199132,1034080,2595701,-,31402,420000,3178379
36,Xplico Insurance Company,191421,-,-,191421,-,55449,134779,56642,19129,37513,34322,-,-,-,71835
37,Total,7868514,5142596,1029260,14040368,205002,883153,1626340,12414030,2174321,10239708,17033955,171680,799560,4082300,22220122
38,REINSURERS,,,,,,,,,,,,,,,
39,Continental Reinsurance,31152,32305,168,63625,-,973,8724,54901,21986,32914,20741,-,-,-,53655
40,East African Reinsurance,108589,318513,76979,504081,-,-,27340,476741,122114,354627,765890,-,200000,40000,880517
41,Kenya Reinsurance Corporation,1859593,355346,333472,2548410,-,-,-,2548410,241197,2307213,-,-,-,-,2307213
42,Total,1999334,706164,410619,3116116,-,973,36064,3080052,385297,2694754,786631,-,200000,40000,3241385
43,Grand Total,9867848,5848760,1439879,17156484,205002,884126,1662404,15494082,2559618,12934462,17820586,171680,999560,4122300,25461507
