,COMPANY,PROFIT TRANSFERRED FROM REVENUE,INVESTMENT INCOME,OTHER INCOME,TOTAL INCOME,LOSS TRANSFERRED FROM REVENUE,MANAGEMENT EXPENSES,TOTAL OUTGO,PROFIT /(LOSS) BEFORE TAXATION,PROVISION FOR TAXATION,PROFIT/(LOSS) AFTER TAXATION,UNAPPROPRIATED PROFIT/(LOSS) BF,TRANSFER TO RESERVES,OTHER APPROPRIATIONS,DIVIDEND,UNAPPROPRIATED PROFIT /(LOSS) CF
0,INSURERS,,,,,,,,,,,,,,,
1,AAR INSURANCE KENYA,"93,828","221,877","3,988","319,693",-,-,-,"319,693","101,448","218,245","( 220,599 )",-,-,-,"( 2,354 )"
2,AFRICAN MERCHANT ASSURANCE,-,-,-,-,"55,810",-,"55,810","( 55,810 )","( 18,366 )","( 37,444 )","561,094",-,-,-,"523,650"
3,AIG INSURANCE COMPANY,"158,146","266,079","( 90,000 )","334,225",-,-,-,"334,225","131,370","202,855","1,262,927",-,-,"250,000","1,215,782"
4,ALLIANZ INSURANCE COMPANY,-,-,-,-,"90,008",-,"90,008","( 90,008 )","( 26,033 )","( 63,975 )","36,369",-,-,-,"( 27,606 )"
5,APA INSURANCE COMPANY,-,"1,109,951","44,563","1,154,514","127,355",505,"346,031","808,483","158,906","649,577","3,168,461",-,-,"200,000","3,618,038"
6,BRITAM GENERAL INSURANCE,"630,808",-,-,"630,808",-,-,-,"630,808","208,727","422,081","( 175,123 )",-,-,-,"246,958"
7,CANNON ASSURANCE COMPANY,-,"( 42,588 )",-,"( 42,588 )","362,309",-,"362,309","( 404,898 )","28,479","( 433,377 )","470,770",-,"4,582",-,"32,810"
8,CIC GENERAL INSURANCE COMPANY,-,-,-,-,279,-,279,( 279 ),-,( 279 ),"2,561,577",275,-,"182,000","2,379,023"
9,CORPORATE INSURANCE COMPANY,"27,922",-,-,"27,922",-,-,-,"27,922","5,530","22,392","504,342",-,-,-,"526,734"
10,DIRECTLINE ASSURANCE COMPANY,-,"266,538","10,970","277,508","17,006","24,071","92,724","184,784","39,352","145,432","586,047",-,-,-,"731,479"
11,FIDELITY SHIELD INSURANCE,"9,641","149,329","8,446","167,416",-,"34,317","120,390","47,026","( 13,605 )","60,631","400,963",-,-,-,"461,593"
12,FIRST ASSURANCE COMPANY,-,"278,968","12,167","291,135","442,869",-,"442,869","( 151,734 )","( 69,622 )","( 82,112 )","1,351,946",-160,-,"458,000","811,994"
13,GA INSURANCE COMPANY,"739,798",-,-,"739,798",-,-,-,"739,798","198,815","540,983","1,044,092","268,121",-,"227,500","1,089,453"
14,GEMINIA INSURANCE COMPANY,"229,924",-,"2,758","232,682",-,756,"7,058","225,625","68,094","157,530","603,611",-,"250,000","70,000","441,141"
15,HERITAGE INSURANCE COMPANY,"888,007",-,-,"888,007",-,"182,927","182,927","705,079","206,885","498,194","1,586,487",-,-,"60,000","2,024,681"
