,Company,Profit Transferred from Revenue ,Investment Income,Other Income,Total Income,Loss Transferred From Revenue,Management Expenses,Total Outgo,Profit / (Loss) Before Taxation,Provision for Taxation,Profit/(Loss) After Taxation,Unappropriated Profit/(Loss) BF,Transfer To Reserves,Other Appropriations,Dividend,Unappropriated Profit /(Loss) CF
0,INSURERS,,,,,,,,,,,,,,,
1,AAR INSURANCE KENYA,756858,0,0,756858,0,0,0,756858,239628,517230,-605955,0,0,0,-88725
2,AFRICAN MERCHANT ASSURANCE ,0,0,0,0,76217,0,76217,-76217,0,-76217,545835,0,0,0,469618
3,AIG INSURANCE COMPANY,-1627,421339,-3448,416264,0,0,0,416264,146544,269720,1410391,0,4747,150000,1525365
4,ALLIANZ INSURANCE COMPANY,0,0,0,0,62915,0,62915,-62915,-14723,-48192,-289750,0,0,0,-337942
5,APA INSURANCE COMPANY,10079,1174625,35411,1220116,0,45395,321728,898388,128158,770230,3463395,0,0,1300000,2933625
6,BRITAM GENERAL INSURANCE,0,0,0,0,306347,0,306347,-306347,-120948,-185399,332938,0,0,100000,47539
7,CIC GENERAL INSURANCE COMPANY,0,797823,0,797823,458201,0,458201,339622,61512,278110,2569662,0,0,228000,2619773
8,CORPORATE INSURANCE COMPANY,-87820,0,0,-87820,0,0,0,-87820,-46129,-41690,520865,0,115485,50000,313690
9,DIRECTLINE ASSURANCE COMPANY,0,88187,0,88187,254907,268712,621676,-533489,-143883,-389606,764921,0,0,0,375315
10,FIDELITY SHIELD INSURANCE  ,0,183604,0,183604,59056,51750,228261,-44656,-10908,-33748,493552,0,0,0,459803
11,FIRST ASSURANCE COMPANY,0,187208,20725,207933,17522,0,17522,190412,60044,130368,-35991,0,0,0,94377
12,GA INSURANCE COMPANY,1247854,31000,71648,1350502,0,0,0,1350502,289006,1061496,2410783,119665,0,300000,3052614
13,GEMINIA INSURANCE COMPANY ,406533,0,0,406533,0,0,0,406533,146483,260051,0,0,0,0,260051
14,HERITAGE INSURANCE COMPANY,904748,0,13508,918256,0,63754,63754,854502,245369,609133,2585766,500000,0,223000,2471899
15,ICEA LION GENERAL INSURANCE,266672,1081822,0,1348494,0,173457,234821,1113672,219350,894322,3247157,0,121941,200000,3819538
16,INTRA-AFRICA ASSURANCE ,105686,35957,47560,189203,0,10806,88833,100370,31209,69161,26526,9000,5431,0,81256
17,INVESCO ASSURANCE COMPANY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,JUBILEE GENERAL INSURANCE,-748132,0,0,-748132,0,0,0,-748132,0,-748132,0,0,-748132,0,0
