,Company,Profit Transferred from Revenue ,Investment Income,Other Income,Total Income,Loss Transferred From Revenue,Management Expenses,Total Outgo,Profit / (Loss) Before Taxation,Provision for Taxation,Profit/(Loss) After Taxation,Unappropriated Profit/(Loss) BF,Transfer To Reserves,Other Appropriations,Dividend,Unappropriated Profit /(Loss) CF
0,INSURERS,,,,,,,,,,,,,,,
1,ABSA LIFE ASSURANCE KENYA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,APA LIFE ASSURANCE COMPANY ,0,74256,0,74256,32402,2906,45572,28684,0,28684,-194646,0,0,0,-165962
3,BRITAM LIFE INSURANCE COMPANY ,3640221,0,573568,4213789,0,0,0,4213789,1092066,3121723,0,0,0,913000,2208723
4,CAPEX LIFE ASSURANCE COMPANY,0,0,-50456,-50456,0,0,0,-50456,0,-50456,18442,0,0,0,-32014
5,CIC LIFE ASSURANCE COMPANY,0,0,0,0,0,0,0,0,0,0,151861,0,0,80000,71861
6,CORPORATE INSURANCE COMPANY,0,0,-109330,-109330,0,0,0,-109330,0,-109330,103460,0,18227,0,-24096
7,FIRST ASSURANCE COMPANY ,17174,0,0,17174,0,0,0,17174,5702,11472,0,0,0,0,11472
8,GA LIFE ASSURANCE COMPANY ,67294,0,16737,84031,0,0,0,84031,20827,63204,44337,0,0,40000,67542
9,GEMINIA INSURANCE COMPANY,41155,0,0,41155,0,0,0,41155,19665,21490,0,0,0,0,21490
10,ICEA LION LIFE ASSURANCE ,560000,130310,0,690310,0,65,65,690245,197544,492701,2303415,0,0,250000,2546116
11,JUBILEE INSURANCE COMPANY ,1250595,250457,697215,2198267,0,0,0,2198267,584343,1613924,1548849,488051,-1377467,0,4052190
12,KENINDIA ASSURANCE COMPANY,40099,0,0,40099,0,0,0,40099,12030,28069,29214,0,0,56139,1144
13,KENYA ORIENT LIFE ASSURANCE,0,30098,38713,68811,0,35758,72582,-3771,5370,-9140,1350,0,0,0,-7791
14,KUSCCO MUTUAL ASSURANCE LIMITED,12131,0,0,12131,0,0,0,12131,6170,5960,0,0,0,0,5960
15,LIBERTY LIFE ASSURANCE COMPANY,0,0,478613,478613,0,0,0,478613,158523,320089,-315546,37712,0,271000,-304170
16,MADISON INSURANCE COMPANY,0,0,0,0,511168,0,511168,-511168,-124895,-386273,62000,-386273,0,0,62000
17,METROPOLITAN CANNON INSURANCE ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
