NAME OF INSURER,NO.,PROFIT/LOSS_TRANSFERRED_FROM_REVENUE,INVESTMENT_INCOME,SHARE_IN_MOTOR_POOL,OTHER_INCOMES,MANAGEMENT_EXPENSES,OTHER_EXPENSES,PROVISION_FOR_TAXATION,PROFIT_OR_LOSS_AFTER_TAXITION,UNAPPRTD_PROFIT/LOSS_B/F,TOTAL_PROFIT_AVAILABLE_FOR_DISTRIBUTION,TRANSFERS_TO_RESERVES,DIVIDENDS,OTHER_APPRTNS,UNAPPRTD_PROFIT/LOSS_C/F
AIG (K),1,167881.0,74356.0,0.0,0.0,0.0,44414.0,72413.0,125410.0,176488.0,301898.0,0.0,109500.0,60000.0,132398.0
Amaco,2,40306.0,12315.0,0.0,0.0,741.0,17874.0,9631.0,24375.0,11306.0,35681.0,0.0,0.0,0.0,35681.0
APA,3,10335.0,99932.0,0.0,101718.0,18115.0,23579.0,9186.0,161105.0,625305.0,786410.0,-644135.0,18000.0,6160.0,1406385.0
Apollo,4,0.0,22928.0,0.0,123401.0,24842.0,4.0,50491.0,70992.0,0.0,70992.0,0.0,0.0,0.0,70992.0
Blue shied,5,466796.0,80553.0,0.0,0.0,0.0,146417.0,119815.0,281117.0,53152.0,334269.0,0.0,0.0,0.0,334269.0
British America,6,251876.0,0.0,0.0,0.0,0.0,0.0,42066.0,209810.0,72955.0,282765.0,0.0,60000.0,0.0,222765.0
Canon,7,-33147.0,23552.0,0.0,56151.0,0.0,31885.0,-1031.0,15702.0,108545.0,124247.0,0.0,0.0,-37503.0,161750.0
CFC Life,8,269679.0,0.0,0.0,0.0,0.0,0.0,79566.0,190113.0,45997.0,236110.0,25838.0,187000.0,3062.0,20210.0
Concord,9,42571.0,10326.0,6405.0,965.0,51880.0,3084.0,3272.0,2031.0,4754.0,6785.0,0.0,0.0,0.0,6785.0
Cooperative,10,-67156.0,29982.0,0.0,31340.0,0.0,0.0,-3900.0,-1934.0,41811.0,39877.0,0.0,11996.0,-34.0,27915.0
Corporate,11,-37648.0,41903.0,0.0,0.0,0.0,0.0,0.0,4255.0,-19683.0,-15428.0,0.0,0.0,0.0,-15428.0
Direct Line,12,7098.0,2491.0,0.0,0.0,0.0,3744.0,2254.0,3591.0,0.0,3591.0,0.0,0.0,0.0,3591.0
East Africa Re,13,2703.0,98097.0,0.0,0.0,6063.0,15009.0,23113.0,56615.0,132922.0,189537.0,0.0,0.0,,189537.0
Fidelity Shield,14,-47713.0,118489.0,0.0,0.0,1778.0,20221.0,-3272.0,52049.0,81198.0,133247.0,0.0,11110.0,10100.0,112037.0
First Assurance,15,3594.0,55891.0,0.0,0.0,0.0,0.0,16289.0,43196.0,64914.0,108110.0,132.0,10000.0,0.0,97978.0
Gateway,16,-44691.0,72197.0,0.0,0.0,0.0,0.0,-6370.0,33876.0,40588.0,74464.0,0.0,0.0,0.0,74464.0
Geminia,17,1599.0,21332.0,0.0,89.0,1446.0,1482.0,5960.0,14132.0,13623.0,27755.0,0.0,0.0,0.0,27755.0
General Accident,18,-65490.0,86984.0,0.0,0.0,0.0,0.0,-1367.0,22861.0,36185.0,59046.0,0.0,0.0,0.0,59046.0
Heritage AII,19,22277.0,233573.0,0.0,0.0,1637.0,17374.0,40560.0,196279.0,459221.0,655500.0,0.0,80000.0,0.0,575500.0
ICEA,20,116669.0,114214.0,2247.0,0.0,0.0,8110.0,80282.0,144738.0,511194.0,655932.0,0.0,50000.0,0.0,605932.0
Intra Africa,21,17327.0,12816.0,6826.0,6815.0,0.0,11442.0,8553.0,23789.0,22486.0,46275.0,-146.0,7500.0,0.0,38921.0
Invesco,22,195364.0,48421.0,0.0,0.0,8031.0,98096.0,-11876.0,149534.0,-143302.0,6232.0,0.0,0.0,0.0,6232.0
Jubilee,23,100000.0,414927.0,0.0,1222.0,0.0,94369.0,17055.0,404725.0,142459.0,547184.0,856.0,150000.0,0.0,396328.0
Kenindia,24,-12540.0,116775.0,0.0,4681.0,6169.0,81526.0,6590.0,14631.0,437796.0,452427.0,0.0,31030.0,0.0,421397.0
Kenya Alliance,25,-8733.0,88591.0,0.0,55936.0,12805.0,11407.0,33348.0,78234.0,95435.0,173669.0,0.0,0.0,-2750.0,176419.0
Kenya Orient,26,14737.0,9750.0,1894.0,0.0,11283.0,470.0,2543.0,12085.0,0.0,12085.0,0.0,0.0,0.0,12085.0
Kenya Re,27,462350.0,619583.0,0.0,0.0,319626.0,0.0,256838.0,505469.0,2106582.0,2612051.0,0.0,150000.0,0.0,2462051.0
