COMPANY,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT_/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,YEARS
INSURERS,,,,,,,,,,,,,,,,2016
AAR INSURANCE KENYA,"6,489,197",-,"992,257","5,496,940","1,834,684",-,"3,235,350",-,"4,096,275","2,793,648","348,912","859,887","93,828","221,877","315,705",2016
AFRICAN MERCHANT ASSURANCE,"3,145,060","17,188","665,843","2,496,405","909,325",-,"1,078,654",-,"2,327,076","1,308,710","155,379","1,092,920","( 229,933 )","174,122","( 55,810 )",2016
AIG INSURANCE COMPANY,"3,588,476","81,463","1,416,352","2,253,588","890,118",-,"772,460",-,"2,371,245","1,409,497","91,362","712,240","158,146",-,"158,146",2016
ALLIANZ INSURANCE COMPANY,"63,060",-,"32,429","30,631",-,-,"25,729",-,"4,902","5,238","1,371","182,153","( 183,860 )","93,853","( 90,008 )",2016
APA INSURANCE COMPANY,"8,995,974",-,"2,481,008","6,514,966","3,204,141",-,"2,467,639",-,"7,251,469","5,244,122","638,025","1,496,678","( 127,355 )",-,"( 127,355 )",2016
BRITAM GENERAL INSURANCE,"6,945,612","51,614","983,122","6,014,104","3,040,464","148,841","2,530,765","98,165","6,574,479","3,780,621","672,195","2,170,113","( 48,449 )","679,257","630,808",2016
CANNON ASSURANCE COMPANY,"1,701,541","24,035","408,938","1,316,637","348,114","58,665","558,806","105,413","1,059,198","838,433","154,286","428,788","( 362,309 )",-,"( 362,309 )",2016
CIC GENERAL INSURANCE COMPANY,"8,407,498",-,"956,313","7,451,186","2,827,370",-,"3,366,626",-,"6,911,930","4,521,575","755,766","2,257,517","( 622,928 )","622,649",-279,2016
CORPORATE INSURANCE COMPANY,"299,866","12,749","3,741","308,874","115,724",-,"111,255",-,"313,343","150,133","24,755","175,775","( 37,319 )","65,242","27,922",2016
DIRECTLINE ASSURANCE COMPANY,"3,224,740",-,"79,756","3,144,984","791,135",-,"904,419",-,"3,031,700","1,787,823","301,961","958,922","( 17,006 )",-,"( 17,006 )",2016
FIDELITY SHIELD INSURANCE,"1,674,182","43,145","410,052","1,307,275","493,386",-,"498,708",-,"1,301,954","770,109","128,309","393,895","9,641",-,"9,641",2016
FIRST ASSURANCE COMPANY,"3,831,052","99,900","1,753,296","2,177,656","918,772",-,"753,348",-,"2,343,080","1,964,664","127,405","693,880","( 442,869 )",-,"( 442,869 )",2016
GA INSURANCE COMPANY,"4,707,811","74,273","2,338,025","2,444,059","994,752",-,"1,006,666",-,"2,432,144","1,436,525","73,727","632,444","289,448","450,350","739,798",2016
GEMINIA INSURANCE COMPANY,"2,212,122","11,028","382,688","1,840,462","553,561",-,"866,012",-,"1,528,011","931,039","183,818","393,050","20,104","209,820","229,924",2016
HERITAGE INSURANCE COMPANY,"5,326,894","13,285","2,263,053","3,077,126","1,193,420",-,"1,208,120",-,"3,062,426","1,355,302","63,702","1,239,266","404,156","483,851","888,007",2016
ICEA LION GENERAL INSURANCE,"6,218,767","85,820","2,466,937","3,837,650","1,360,135",-,"1,373,209",-,"3,824,576","2,310,662","344,071","1,028,123","141,720",-,"141,720",2016
INTRA-AFRICA ASSURANCE,"996,133","18,127","154,066","860,194","314,323",-,"379,991",-,"794,526","460,382","57,587","268,870","7,686","19,900","27,586",2016
INVESCO ASSURANCE COMPANY,"2,300,894",-,"60,476","2,240,419","387,475",-,"321,883",-,"2,306,011","974,272","234,479","1,093,109","4,150",-,"4,150",2016
JUBILEE INSURANCE COMPANY,"13,781,583","307,715","3,824,990","10,264,308","3,350,928",-,"4,134,666",-,"9,480,569","6,711,739","784,927","1,780,367","203,536","614,322","817,858",2016
KENINDIA ASSURANCE COMPANY,"2,910,583","85,377","1,115,062","1,880,898","694,487",-,"737,705",-,"1,837,681","1,241,484","144,174","576,847","( 124,823 )","352,721","227,898",2016
KENYA ORIENT INSURANCE,"2,480,669","44,896","248,444","2,277,121","1,093,495",-,"1,081,841",-,"2,288,776","1,299,515","184,842","671,738","132,681","56,337","189,018",2016
MADISON INSURANCE COMPANY,"3,102,440",-,"159,692","2,942,749","1,041,059",-,"1,215,887",-,"2,767,921","2,067,558","283,505","674,670","( 257,812 )","255,798","( 2,014 )",2016
MAYFAIR INSURANCE COMPANY,"2,233,714","68,337","1,134,667","1,167,385","422,697",-,"456,003",-,"1,134,079","522,538","68,792","306,248","236,501",-,"236,501",2016
OCCIDENTAL INSURANCE COMPANY,"2,038,448","( 5,358 )","652,274","1,380,816","560,137",-,"462,599",-,"1,478,354","1,060,372","133,674","267,974","16,334","210,824","227,158",2016
PACIS INSURANCE COMPANY,"1,042,138",-,"199,546","842,592","348,052",-,"349,912",-,"840,732","354,347","98,087","434,375","( 46,076 )","82,513","36,437",2016
PHOENIX OF EAST AFRICA,"374,810","63,916","202,601","236,125","121,669",-,"104,229",-,"253,565","333,654","30,144","304,337","( 414,570 )","152,524","( 262,046 )",2016
PIONEER GENERAL INSURANCE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2016
RESOLUTION INSURANCE COMPANY,"3,889,916","36,195","2,589,929","1,336,182","522,879","34,855","661,858","79,575","1,152,484","867,268","( 135,989 )","1,049,347","( 628,142 )","65,089","( 563,054 )",2016
SAHAM INSURANCE COMPANY,"1,559,828","3,253","878,907","684,174","217,332",-,"320,220",-,"581,286","255,339","3,822","354,600","( 32,475 )","94,493","62,018",2016
SANLAM GENERAL INSURANCE,"961,583","40,616","180,266","821,934","206,775",-,"380,767",-,"647,941","134,653","56,883","494,098","( 37,693 )",901,"( 36,792 )",2016
TAKAFUL INSURANCE OF AFRICA,"816,450",-,"200,665","615,785","354,266","29,954","334,641","23,269","642,096","146,144","27,798","386,378","81,776","46,747","128,523",2016
TAUSI ASSURANCE COMPANY,"950,169","13,169","290,518","672,821","189,478",-,"232,469",-,"629,829","262,000","57,046","192,871","117,911",-,"117,911",2016
THE KENYAN ALLIANCE INSURANCE,"1,079,632","16,291","133,411","962,513","482,670",-,"508,526",-,"936,658","527,644","90,854","385,852","( 67,693 )","135,433","67,740",2016
THE MONARCH INSURANCE,"1,018,281","33,358","137,995","913,645","253,859",-,"406,522",-,"760,981","373,211","51,255","345,979","( 9,464 )",-,"( 9,464 )",2016
TRIDENT INSURANCE COMPANY,"1,259,551","36,222","582,562","713,211","295,327",-,"409,716",-,"598,822","313,939","( 24,030 )","368,995","( 60,082 )",-,"( 60,082 )",2016
UAP INSURANCE COMPANY,"10,852,494","129,575","2,176,631","8,805,438","2,934,218",-,"3,286,390",-,"8,453,266","5,836,674","788,865","2,089,706","( 261,979 )",-,"( 261,979 )",2016
XPLICO INSURANCE COMPANY,"1,229,298",-,"49,908","1,179,390","617,076",-,"360,685",-,"1,435,781","506,661","102,882","856,749","( 30,512 )",-,"( 30,512 )",2016
TOTAL,"121,710,466","1,406,189","32,606,420","90,510,243","33,883,303","272,315","36,904,276","306,422","87,455,166","54,857,495","7,104,641","27,618,761","( 2,125,731 )","5,088,623","2,962,890",2016
REINSURERS,,,,,,,,,,,,,,,,2016
CONTINENTAL REINSURANCE,-,"1,526,519","174,357","1,352,162","303,870",-,"281,343",-,"1,374,689","629,885","447,750","174,542","122,512","55,587","178,099",2016
EAST AFRICA REINSURANCE,-,"2,516,439","116,530","2,399,909","859,557",-,"643,350",-,"2,616,116","1,648,388","674,567","215,961","77,200","455,141","532,340",2016
KENYA REINSURANCE CORPORATION,-,"11,223,537","478,392","10,745,145","4,407,392",-,"4,298,058",-,"10,854,479","5,921,601","3,044,476","1,800,020","88,382","2,558,083","2,646,464",2016
TOTAL,-,"15,266,495","769,279","14,497,216","5,570,819",-,"5,222,751",-,"14,845,284","8,199,874","4,166,793","2,190,523","288,094","3,068,811","3,356,903",2016
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2016
INSURERS,,,,,,,,,,,,,,,,2015
AAR INSURANCE KENYA,4368038,-,457969,3910069,1563220,-,1834684,-,3638604,2458717,292279,664742.0,"222,867",187860,410727.0,2015
AFRICAN MERCHANT ASSURANCE,3291557,15654,683353,2623859,564704,-,909325,-,2279238,1306581,148584,833251.0,"( 9,178 )",186165,176987.0,2015
AIG INSURANCE COMPANY,3827049,103879,1546552,2384377,879690,-,890118,-,2373948,1480529,122727,721734.0,"48,958",-,48958.0,2015
ALLIANZ INSURANCE COMPANY,-,-,-,-,-,-,-,-,-,-,-,16107.0,"( 16,107 )",64713,48607.0,2015
APA INSURANCE COMPANY,9242367,-,2249247,6993120,2579612,-,3204141,-,6368591,4386338,519491,1384270.0,"78,491",-,78491.0,2015
BRITAM GENERAL INSURANCE,8120126,-,1095534,7024593,2764069,100884,3040464,148841,6700241,4512033,715827,2200649.0,"( 728,268 )",458730,-269538.0,2015
CANNON ASSURANCE COMPANY,1123821,25296,275139,873978,380832,-,348114,58665,848030,509164,98569,366676.0,"( 126,379 )",-,-126379.0,2015
CIC GENERAL INSURANCE COMPANY,7863424,58280,1225892,6695811,4051656,-,2827370,-,7920097,5384565,618747,1795390.0,"121,395",695364,816759.0,2015
CORPORATE INSURANCE COMPANY,383373,2038,74706,310705,155536,-,115724,-,350517,79233,34025,163710.0,"73,548",146848,220396.0,2015
DIRECTLINE ASSURANCE COMPANY,2770706,-,54821,2715885,660396,-,791135,-,2585145,1749444,254188,874044.0,"( 292,531 )",-,-292531.0,2015
FIDELITY SHIELD INSURANCE,1793796,28926,457492,1365231,422930,-,493386,-,1294775,898730,110927,377568.0,"( 92,450 )",-,-92450.0,2015
FIRST ASSURANCE COMPANY,3709316,87969,1444518,2352766,1006451,-,918772,-,2440445,1699600,140011,575339.0,"25,496",-,25496.0,2015
GA INSURANCE COMPANY,4261542,63154,2063886,2260810,888141,-,994752,-,2154199,1282549,33618,666710.0,"171,321",407766,579087.0,2015
GATEWAY INSURANCE COMPANY,600594,32563,127866,505290,192461,-,206775,-,490977,538326,30278,434886.0,"( 512,514 )",258122,-254392.0,2015
GEMINIA INSURANCE COMPANY,1640207,16918,473751,1183374,469964,-,553561,-,1099777,694178,77101,329869.0,"( 1,372 )",193341,191970.0,2015
HERITAGE INSURANCE COMPANY,5207511,17158,2166554,3058115,1044662,-,1193420,-,2909357,1337682,65916,1289766.0,"215,992",381277,597269.0,2015
ICEA LION GENERAL INSURANCE,5523082,104070,2341336,3285815,1234991,-,1360135,-,3160671,1738269,296766,994344.0,"131,293",-,131293.0,2015
INTRA-AFRICA ASSURANCE,940834,5542,175371,771004,294634,-,308201,6122,751315,429476,19700,264669.0,"37,470",21151,58621.0,2015
INVESCO ASSURANCE COMPANY,2293994,-,52288,2241705,396968,-,387475,-,2251198,1010605,232372,995559.0,"12,662",-,12662.0,2015
JUBILEE INSURANCE COMPANY,11714024,436468,3403949,8746543,2706218,-,3350928,-,8101833,5215508,578611,1661008.0,"646,706",622960,1269667.0,2015
KENINDIA ASSURANCE COMPANY,2784466,79585,1130405,1733646,627509,-,694487,-,1666668,1141359,62217,572261.0,"( 109,170 )",1254630,1145460.0,2015
KENYA ORIENT INSURANCE,2422681,34698,216892,2240487,854820,-,1093495,-,2001812,1080854,187306,663039.0,"70,613",63107,133721.0,2015
MADISON INSURANCE COMPANY,2683187,-,171232,2511955,480219,-,1041059,-,1951114,1068366,202091,491389.0,"189,269",243503,432772.0,2015
MAYFAIR INSURANCE COMPANY,1958463,66576,965349,1059690,360641,-,422697,-,997633,398917,41442,318857.0,"238,417",-,238417.0,2015
OCCIDENTAL INSURANCE COMPANY,1897013,9935,610934,1296013,510132,-,560137,-,1246008,720933,124132,244576.0,"156,368",180471,336839.0,2015
PACIS INSURANCE COMPANY,1007529,-,177571,829957,355513,-,348052,-,837418,376352,93894,411756.0,"( 44,585 )",83604,39019.0,2015
PHOENIX OF EAST AFRICA,524461,76761,299576,301645,106246,-,121669,-,286222,159354,-27406,182724.0,"( 28,450 )",-,-28450.0,2015
RESOLUTION HEALTH INSURANCE,2959517,-,1730334,1229183,478487,-,522880,34855,1149935,803414,-168729,897149.0,"( 381,899 )",-,-381899.0,2015
SAHAM ASSURANCE,1210663,9578,678233,542008,145284,-,217332,-,469960,277507,-21373,276962.0,"( 63,136 )",90482,27345.0,2015
TAKAFUL INSURANCE OF AFRICA,777802,-,99900,677902,294653,-,354266,-,618289,288502,58491,344211.0,"( 72,915 )",82521,9606.0,2015
TAUSI ASSURANCE COMPANY,870156,6619,318003,558772,192554,-,189478,-,561848,239750,41801,207147.0,"73,150",-,73150.0,2015
THE KENYAN ALLIANCE INSURANCE,1196728,17384,149975,1064138,532895,-,482670,-,1114362,517570,120412,423969.0,"52,411",228725,281136.0,2015
THE MONARCH INSURANCE,674633,25481,73611,626503,258531,-,253859,-,631176,240209,62286,280774.0,"47,906",-,47906.0,2015
TRIDENT INSURANCE COMPANY,951318,54350,527169,478500,435452,-,295327,-,618625,434739,-32076,269897.0,"( 53,936 )",-,-53936.0,2015
UAP INSURANCE COMPANY,8140200,144820,1495444,6789576,2371976,-,2934218,-,6227334,4289965,472885,1757285.0,"( 292,801 )",-,-292801.0,2015
XPLICO INSURANCE COMPANY,1741137,823,62852,1679109,401991,-,617076,-,1464025,302093,135906,1040950.0,"( 14,924 )",-,-14924.0,2015
TOTAL,110475315,1524525,29077704,82922134,30664038,100884,33877182,248483,79561387,49051411,5743016,24993237.0,"( 226,282 )",5851340,5625061.0,2015
REINSURERS,,,,,,,,,,,,,,,,2015
CONTINENTAL REINSURANCE,1410255,-,136021,1274234,348301,-,303870,-,1318665,690909,388272,127645.0,"111,840",46300,158140.0,2015
EAST AFRICA REINSURANCE,-,2994995,114040,2880956,832018,-,859557,-,2853417,1773260,821416,238674.0,"20,067",421258,441325.0,2015
KENYA REINSURANCE CORPORATION,-,11396212,377730,11018482,3905972,-,4407392,-,10517061,6426058,2894915,1154837.0,"41,252",2531274,2572526.0,2015
TOTAL,1410255,14391207,627791,15173672,5086291,-,5570819,-,14689143,8890227,4104603,1521156.0,"173,159",2998832,3171991.0,2015
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,2015
INSURERS,,,,,,,,,,,,,,,,2014
AAR INSURANCE KENYA,3566321,137,965840.0,2600619.0,1279110.0,-,1563220.0,-,2316509.0,1659095.0,165287.0,502774.0,-10647.0,140881,130234.0,2014
AFRICAN MERCHANT ASSURANCE,2554496,5087,538946.0,2020637.0,479683.0,-,564704.0,-,1935616.0,1047126.0,108669.0,799815.0,-19993.0,162647,142654.0,2014
AIG INSURANCE COMPANY,3905090,122569,1552705.0,2474954.0,716330.0,-,809509.0,-,2381775.0,1310136.0,91994.0,808878.0,170766.0,-,170766.0,2014
APA INSURANCE COMPANY,7723351,80635,2012257.0,5791729.0,2438698.0,-,2579612.0,-,5650816.0,3963568.0,497788.0,1150711.0,38749.0,-,38749.0,2014
BRITISH AMERICAN INSURANCE,5001066,-,755144.0,4245922.0,1368240.0,-,1852042.0,-,3762120.0,2263486.0,409907.0,1133785.0,-45058.0,384671,339613.0,2014
CANNON ASSURANCE COMPANY,1181405,33988,340327.0,875066.0,318147.0,-,380832.0,-,812381.0,475143.0,87720.0,319707.0,-70189.0,144953,74764.0,2014
CIC GENERAL INSURANCE COMPANY,9507349,45246,819662.0,8732933.0,3699941.0,-,4051656.0,-,8381218.0,5805617.0,645669.0,1804800.0,125132.0,719644,844776.0,2014
