,Company,Gross Direct Premium ,Inward Reinsurance_x000D_,Outward Reinsurance ,Net Premium Written,UPR B/F, Unexpired Risk Reserve (B/F) ,UPR C/F_x000D_, Unexpired Risk Reserve (B/F) .1,Net Earned Premium Income,Incurred Claims,Net Commisions,Expense of Management ,Underwriting Profit /(Loss),Investment Income,Profit transferred to P&L,years
0,INSURERS,,,,,,,,,,,,,,,,2020
1,AAR INSURANCE KENYA,5683964.0,0.0,1966689.0,3717275.0,1494294.0,0.0,1460135.0,0.0,3751434.0,2594960.0,56428.0,1123553.0,-23507.0,341543.0,318037.0,2020
2,AFRICAN MERCHANT ASSURANCE ,1069484.0,0.0,186269.0,883215.0,354162.0,0.0,290273.0,0.0,947104.0,866212.0,29892.0,561554.0,-510554.0,101124.0,-409430.0,2020
3,AIG INSURANCE COMPANY,2977660.0,68174.0,2329000.0,716834.0,302832.0,0.0,274094.0,0.0,745572.0,314652.0,-455465.0,886279.0,106.0,0.0,106.0,2020
4,ALLIANZ INSURANCE COMPANY,929347.0,0.0,419914.0,509433.0,170252.0,0.0,179673.0,0.0,500012.0,329317.0,49269.0,282867.0,-161441.0,114589.0,-46852.0,2020
5,APA INSURANCE COMPANY,9506542.0,2373.0,3142282.0,6366633.0,2399996.0,86910.0,2346840.0,52429.0,6454270.0,4162049.0,448223.0,1578672.0,265326.0,0.0,265326.0,2020
6,BRITAM GENERAL INSURANCE,8253941.0,0.0,1566395.0,6687546.0,2210847.0,95319.0,2629656.0,81035.0,6283021.0,4038876.0,680152.0,2266981.0,-702989.0,1077445.0,374456.0,2020
7,CIC GENERAL INSURANCE COMPANY,10059752.0,136996.0,1734504.0,8462244.0,3584470.0,0.0,3435993.0,0.0,8610721.0,6003086.0,886761.0,2171013.0,-450138.0,704609.0,254471.0,2020
8,CORPORATE INSURANCE COMPANY,824421.0,108413.0,88454.0,844380.0,264715.0,67566.0,376165.0,57335.0,743161.0,382334.0,100933.0,307233.0,-47339.0,23894.0,-23445.0,2020
9,DIRECTLINE ASSURANCE COMPANY,2626425.0,0.0,78289.0,2548136.0,647510.0,0.0,523133.0,0.0,2672513.0,2107676.0,280381.0,761609.0,-477154.0,84959.0,-392195.0,2020
10,FIDELITY SHIELD INSURANCE  ,2058056.0,2133.0,742569.0,1317620.0,595854.0,0.0,448387.0,0.0,1465087.0,1175871.0,126190.0,355016.0,-191989.0,0.0,-191989.0,2020
11,FIRST ASSURANCE COMPANY,4100174.0,44285.0,1560073.0,2584387.0,770217.0,37440.0,981115.0,27859.0,2383071.0,1349953.0,171109.0,831697.0,30311.0,0.0,30311.0,2020
12,GA INSURANCE COMPANY,7691682.0,148967.0,3761910.0,4078738.0,1419347.0,0.0,1677139.0,0.0,3820946.0,2325388.0,49815.0,988617.0,457127.0,706221.0,1163348.0,2020
13,GEMINIA INSURANCE COMPANY ,4725204.0,423773.0,985134.0,4163842.0,1813474.0,0.0,1878275.0,0.0,4099042.0,2772776.0,239600.0,913648.0,173017.0,302763.0,475781.0,2020
14,HERITAGE INSURANCE COMPANY,5688385.0,76823.0,2349984.0,3415224.0,1519808.0,0.0,1465029.0,0.0,3470003.0,1610963.0,142897.0,1350398.0,365746.0,551610.0,917356.0,2020
15,ICEA LION GENERAL INSURANCE,5995282.0,62112.0,2960376.0,3097017.0,1244636.0,61318.0,1216242.0,30494.0,3156237.0,1480393.0,195453.0,1073652.0,406739.0,0.0,406739.0,2020
16,INTRA-AFRICA ASSURANCE ,1082767.0,22616.0,127794.0,977589.0,424575.0,0.0,317533.0,0.0,1084632.0,582414.0,113248.0,344323.0,44646.0,92810.0,137456.0,2020
17,INVESCO ASSURANCE COMPANY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
18,JUBILEE GENERAL INSURANCE,3061778.0,0.0,1301236.0,1760543.0,1390414.0,92402.0,913931.0,53241.0,2276187.0,1716121.0,115334.0,998532.0,-553800.0,413490.0,-140310.0,2020
19,JUBILEE HEALTH INSURANCE,8326314.0,10495.0,1676587.0,6660221.0,1940951.0,0.0,2550884.0,0.0,6050288.0,4162619.0,217552.0,937946.0,732172.0,284219.0,1016391.0,2020
