NAME OF INSURER,NO.,FUND_AT_THE_BEGINNING_OF_THE_YEAR,NET_PREMIUM,GROSS_INVESTMENT_INCOME,INVESTMENT_EXPENSE,NET_INVESTMENT_INCOME,CLAIMS_BY_DEATH,CLAIMS_BY_MATURITY,OTHER_CLAIMS,SURRENDERS,BONUSES_PAID_IN_CASH,ANNUITIES_PAID,COMMISSIONS,EXPENSE_OF_MANAGEMENT,OTHER_EXPENSES,TRANSFER_TO_P&L_ACCOUNT,FUND_AT_THE_END_OF_THE_YEAR,years,UNNAMED:_1
Apollo,1,213548,74286,69053,1366,67687,14752,-,-,-,-,25262,15580,42584,-,10964,246379,2012,
Britam,2,760040,852575,160976,8686,152290,396484,-,-,-,-,-,24078,179185,-,-,1165158,2012,
Cannon,3,30275,4365,7681,79,7602,1574,-,-,-,-,-,-1793,2125,160,-,40176,2012,
Capex,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2012,
CFC Life,5,53219,202916,4851,-,4851,97774,-,-,-,-,-,-39242,20950,6344,111633,63527,2012,
CIC Life,6,1680707,1964207,243853,-,243853,1029317,-,130571,-,-,-,81691,657554,-,-,1989634,2012,
Corporate,7,7577,1740,743,-,743,510,-,-,511,-3959,-,-,255,-,-,12743,2012,
First Assurance,8,191486,5903,30238,-,30238,5313,-,-,-,-,-,-4056,5622,-,,220748,2012,
Geminia,9,13325,4020,8172,-,8172,1831,-,-,-,-,-,-1335,1355,-,-,23666,2012,
ICEA Lion Life,10,3994669,534632,582802,173765,409037,119097,-,78532,-,-,466321,-64280,114610,-,156242,4067816,2012,
Jubilee,11,344165,372061,-42612,1069,-43681,222189,-,-,-,-,-,50698,95942,,120000,183716,2012,
Kenindia,12,142977,39625,24473,-,24473,38319,-,-,-,-,-,6333,599,-,50000,111824,2012,
Kenyan Alliance,13,7367,24572,1858,-,1858,7632,-,-,-,-,-,-5175,16534,-,5422,9384,2012,
Madison,14,223637,104895,81782,-,81782,30641,-,4,891,-,30069,-314,51232,-,-,297791,2012,
Mercantile,15,2582,969,2246,-,2246,617,-,291,-,-,-,-144,3279,-,-,1754,2012,
Metropolitan,16,7464,53333,24776,121,24655,18445,-,-,-,-,-,7669,22649,-,-9817,46506,2012,
Old Mutual,17,49766,82742,34455,111,34344,56344,-,-,-,-,-,13220,59865,-,-10390,47813,2012,
Pan Africa,18,2961739,2844785,499120,-,499120,621109,-,-,,,323422,104669,126046,-,,5130398,2012,
Pioneer,19,142034,558772,77267,-,77267,176711,-,199502,-,-,82290,46720,60678,-,7444,204728,2012,
Shield Assurance,20,20220,1089,90,-,90,-,-,77,-,-,-,31,930,52,-,20309,2012,
The Monarch,21,86247,3755,35403,-,35403,-,-,3300,-,-,-,-1088,15440,-,,107753,2012,
UAP Life,22,302474,224850,26190,-,26190,132679,-,57571,-,-,-,-2704,75228,-,-43810,334550,2012,
Total,,11235518,7956092,1873417,185197,1688220,2971338,-,469848,1402,-3959,927364,230558,1552662,6556,397688,14326373,2012,
,Amounts in '000' KES,,,,,,,,,,,,,,,,,2012,
Apollo,1.0,167158.0,106923.0,,0.0,21181.0,10464.0,0.0,0.0,0.0,0.0,18377.0,12330.0,33021.0,0.0,7521.0,213549.0,2011,
British American,2.0,513218.0,735395.0,,3701.0,-20823.0,296266.0,0.0,0.0,0.0,0.0,0.0,23996.0,143787.0,0.0,0.0,760040.0,2011,
Cannon,3.0,24317.0,5281.0,,66.0,2935.0,2035.0,0.0,0.0,0.0,0.0,0.0,-1429.0,1434.0,164.0,0.0,30263.0,2011,
CFC Life,4.0,13212.0,119702.0,,0.0,804.0,14238.0,0.0,516.0,0.0,0.0,0.0,-32706.0,43307.0,9093.0,75154.0,24116.0,2011,
Cooperative,5.0,1295201.0,1665008.0,,0.0,167403.0,767690.0,0.0,315958.0,0.0,0.0,0.0,53959.0,579769.0,2281.0,0.0,1407955.0,2011,
Corporate,6.0,7665.0,402.0,,0.0,51.0,-510.0,0.0,111.0,0.0,366.0,0.0,0.0,64.0,510.0,0.0,7577.0,2011,
First Assurance,7.0,180646.0,4588.0,,0.0,11616.0,7155.0,0.0,0.0,0.0,0.0,0.0,-7453.0,5661.0,0.0,0.0,191487.0,2011,
Geminia,8.0,9926.0,2422.0,,0.0,2863.0,1112.0,0.0,0.0,0.0,0.0,0.0,-969.0,1659.0,83.0,0.0,13326.0,2011,
Heritage,9.0,177661.0,87530.0,,0.0,37670.0,22924.0,0.0,0.0,0.0,0.0,0.0,-7556.0,42792.0,0.0,0.0,244701.0,2011,
ICEA,10.0,3354052.0,436636.0,,0.0,447654.0,62153.0,0.0,-387908.0,0.0,0.0,407505.0,-36776.0,120796.0,0.0,81900.0,3990672.0,2011,
Jubilee,11.0,287152.0,377161.0,,519.0,30443.0,110326.0,0.0,0.0,0.0,0.0,0.0,54712.0,91883.0,0.0,0.0,437316.0,2011,
Kenindia,12.0,97777.0,16924.0,,0.0,70925.0,0.0,-12290.0,0.0,0.0,0.0,0.0,11624.0,13318.0,0.0,30000.0,142974.0,2011,
Kenyan Alliance,13.0,2279.0,17545.0,,0.0,487.0,4685.0,0.0,0.0,0.0,0.0,0.0,-2533.0,10285.0,0.0,508.0,7366.0,2011,
KNAC (2001),14.0,,,,,,,,,,,,,,,,0.0,2011,
Madison,15.0,178213.0,130074.0,,0.0,16871.0,27316.0,0.0,0.0,0.0,0.0,24820.0,92.0,49292.0,0.0,0.0,223637.0,2011,
Mercantile,16.0,11114.0,1914.0,,0.0,693.0,493.0,0.0,0.0,0.0,0.0,0.0,-149.0,10584.0,0.0,-500.0,3293.0,2011,
Metropoliatan Life,17.0,12149.0,29215.0,,-12.0,137.0,11767.0,0.0,0.0,0.0,0.0,0.0,2919.0,15568.0,0.0,3796.0,7463.0,2011,
Old Mutual,18.0,417748.0,133105.0,,2701.0,-25062.0,47883.0,65440.0,0.0,0.0,0.0,1916.0,9821.0,49887.0,0.0,-19217.0,367360.0,2011,
Pan Africa Life,19.0,2369450.0,1284615.0,,0.0,343395.0,642723.0,0.0,0.0,0.0,0.0,156679.0,136539.0,99780.0,0.0,0.0,2961739.0,2011,
Pioneer,20.0,102952.0,264672.0,,0.0,60622.0,14015.0,0.0,182822.0,0.0,0.0,28946.0,31807.0,28490.0,0.0,132.0,142034.0,2011,
Shield Assurance,21.0,29563.0,3032.0,,0.0,86.0,0.0,0.0,8492.0,0.0,0.0,0.0,153.0,1731.0,0.0,0.0,22305.0,2011,
T he Monarch,22.0,109306.0,9226.0,,0.0,36015.0,0.0,5838.0,0.0,8474.0,0.0,0.0,-1577.0,7657.0,0.0,0.0,134155.0,2011,
Capex Life,23.0,0.0,943.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.0,2011,
UAP Life,24.0,234283.0,170377.0,,0.0,59576.0,-102676.0,0.0,-200227.0,0.0,0.0,0.0,22447.0,160535.0,-129022.0,398371.0,314807.0,2011,
Total,,9595041.0,5602691.0,,6975.0,1265542.0,1940060.0,58988.0,-80236.0,8474.0,366.0,638243.0,269251.0,1511300.0,-116891.0,577665.0,11649079.0,2011,
Amounts in '000' KES,,,,,,,,,,,,,,,,,,2011,
,Ordinary Life Business,,,,,,,,,,,,,,,,,2010,
Apollo,1,285722.0,40236.0,,219.0,55726.0,19319.0,0.0,944.0,0.0,0.0,1710.0,12380.0,0.0,35364.0,311748.0,,2010,
British American,2,8912725.0,3236631.0,,70106.0,4200140.0,266890.0,0.0,362706.0,480887.0,0.0,618701.0,680647.0,0.0,175000.0,13694559.0,,2010,
Cannon,3,531779.0,74799.0,,2198.0,168577.0,23452.0,0.0,9760.0,0.0,0.0,8131.0,37072.0,872.0,42850.0,650820.0,,2010,
CFC Life,4,2958254.0,1352599.0,,22737.0,243309.0,237919.0,0.0,98130.0,17769.0,7638.0,174098.0,292510.0,129121.0,170974.0,3403266.0,,2010,
Cooperative,5,151684.0,188593.0,,1671.0,31186.0,78668.0,0.0,4815.0,0.0,0.0,28631.0,66747.0,1069.0,-70000.0,259862.0,,2010,
**Corporate,6,140668.0,117398.0,,4939.0,39831.0,30087.0,6261.0,0.0,0.0,0.0,33727.0,23365.0,0.0,0.0,199518.0,,2010,
First Assurance,7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2010,
Geminia,8,119835.0,11914.0,,90.0,12452.0,1698.0,793.0,53.0,0.0,0.0,1297.0,5422.0,338.0,0.0,134510.0,,2010,
Heritage,9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2010,
ICEA,10,1274062.0,677969.0,,39551.0,337219.0,0.0,241452.0,92403.0,0.0,0.0,147057.0,154184.0,6124.0,87000.0,1521479.0,,2010,
Jublee,11,1588473.0,682005.0,,9233.0,327343.0,185582.0,0.0,29095.0,0.0,0.0,218756.0,202642.0,0.0,0.0,1952513.0,,2010,
Kenindia,12,2133382.0,377088.0,,6165.0,309868.0,156733.0,45676.0,13364.0,,0.0,61188.0,78053.0,0.0,0.0,2459159.0,,2010,
Kenyan Alliance,13,7381.0,2516.0,,0.0,289.0,842.0,0.0,0.0,,,126.0,336.0,10.0,0.0,8872.0,,2010,
KNAC (2001),14,110763.0,3607.0,,3444.0,126822.0,20979.0,0.0,9829.0,0.0,0.0,0.0,66875.0,5673.0,,134392.0,,2010,
Madison,15,631267.0,475015.0,,3280.0,161054.0,310429.0,113.0,23547.0,0.0,0.0,56830.0,84388.0,0.0,0.0,788749.0,,2010,
Mercantile,16,116912.0,33065.0,,1060.0,21961.0,14375.0,0.0,1368.0,0.0,0.0,7153.0,11755.0,0.0,-416.0,136643.0,,2010,
Metropoliatan Life,17,107774.0,56861.0,,226.0,16303.0,0.0,0.0,5464.0,0.0,0.0,4260.0,72303.0,0.0,-61242.0,159927.0,,2010,
Old Mutual,18,5565891.0,1165127.0,,15098.0,1439321.0,112562.0,605066.0,25625.0,0.0,0.0,33991.0,767326.0,13695.0,-762863.0,7359839.0,,2010,
Pan Africa Life,19,3789045.0,1683333.0,,42326.0,930297.0,257598.0,0.0,105636.0,0.0,0.0,310131.0,435322.0,18672.0,46055.0,5186935.0,,2010,
Pioneer,20,294519.0,311205.0,,6544.0,39156.0,82055.0,277.0,3706.0,10817.0,0.0,88011.0,111364.0,0.0,43394.0,298712.0,,2010,
Shield Assurance,21,,,,,,,,,,,,,,,,,2010,
The Monarch,22,0.0,78.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,43.0,,2010,
Capex Life,23,81667.0,14846.0,,,51915.0,3663.0,,,,,81.0,61829.0,-218.0,12393.0,70680.0,,2010,
UAP Life,24,497373.0,227740.0,,0.0,87100.0,81923.0,0.0,0.0,0.0,0.0,33460.0,48376.0,0.0,-63745.0,712199.0,,2010,
Total,,29299176.0,10732625.0,,228887.0,8599870.0,1884774.0,899638.0,786445.0,509473.0,7638.0,1827375.0,3212896.0,175356.0,-345236.0,39444425.0,,2010,
,Superannuation Business,,,,,,,,,,,,,,,,,2010,
Apollo,1,643130.0,238236.0,,6990.0,219855.0,0.0,0.0,0.0,0.0,58318.0,9058.0,30945.0,0.0,34444.0,961466.0,,2010,
British American,2,2935070.0,1259419.0,,244425.0,718726.0,0.0,0.0,737039.0,0.0,6695.0,7947.0,98710.0,0.0,0.0,3818399.0,,2010,
Cannon,3,41382.0,3077.0,,1548.0,7699.0,0.0,0.0,0.0,0.0,5312.0,548.0,1147.0,80.0,0.0,43523.0,,2010,
CFC Life,4,6171327.0,1365025.0,,25978.0,952900.0,0.0,0.0,929250.0,0.0,0.0,4808.0,121739.0,28415.0,265293.0,7113769.0,,2010,
Cooperative,5,916869.0,1370188.0,,635344.0,112823.0,0.0,0.0,0.0,0.0,0.0,23513.0,440860.0,0.0,0.0,1300163.0,,2010,
Corporate,6,11657.0,289.0,,510.0,98.0,0.0,-715.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,12192.0,,2010,
First Assurance,7,71373.0,6887.0,,6061.0,18080.0,0.0,-875.0,0.0,0.0,0.0,-5508.0,5141.0,0.0,-90000.0,181521.0,,2010,
Geminia,8,9135.0,472.0,,87.0,1871.0,0.0,0.0,0.0,0.0,0.0,-391.0,1856.0,0.0,0.0,9926.0,,2010,
Heritage,9,1545921.0,414100.0,,9929.0,146505.0,0.0,216315.0,0.0,0.0,0.0,-2092.0,54558.0,0.0,50000.0,1777816.0,,2010,
ICEA,10,17062322.0,2642878.0,,157099.0,2722008.0,0.0,550820.0,2164338.0,0.0,395060.0,-4485.0,198177.0,42076.0,163000.0,18761123.0,,2010,
Jublee,11,9528575.0,2563649.0,,1070795.0,1130486.0,0.0,0.0,0.0,0.0,0.0,80566.0,147941.0,0.0,46588.0,11876820.0,,2010,
Kenindia,12,5500899.0,1061286.0,,27621.0,871168.0,0.0,0.0,687035.0,0.0,0.0,9569.0,33155.0,0.0,0.0,6675973.0,,2010,
Kenyan Alliance,13,249059.0,60920.0,,2033.0,19701.0,18105.0,0.0,0.0,0.0,0.0,-2195.0,8118.0,0.0,0.0,303619.0,,2010,
KNAC (2001),14,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2010,
Madison,15,1736997.0,591588.0,,29420.0,210192.0,0.0,0.0,315663.0,0.0,17056.0,28416.0,150815.0,0.0,0.0,1997407.0,,2010,
Mercantile,16,254670.0,63135.0,,2161.0,28377.0,0.0,-150.0,27718.0,0.0,99.0,-497.0,17632.0,0.0,-4790.0,304009.0,,2010,
Metropoliatan Life,17,13719.0,35305.0,,27118.0,2030.0,0.0,0.0,0.0,0.0,0.0,3681.0,17662.0,0.0,-9556.0,12149.0,,2010,
Old Mutual,18,557174.0,131334.0,,8817.0,83737.0,67389.0,0.0,0.0,0.0,1585.0,6837.0,12987.0,0.0,256883.0,417747.0,,2010,
Pan Africa Life,19,2051147.0,2059551.0,,442615.0,307529.0,0.0,54560.0,0.0,0.0,108806.0,514259.0,83412.0,0.0,138945.0,3075630.0,,2010,
