COMPANY,LIFE_FUND_BF,GROSS_PREMIUM,NET_PREMIUM,OTHER_(FEE)_INCOME,TOTAL_BENEFITS,CLAIMS,SURRENDERS,BONUSES_PAID,ANNUITIES_PAID,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,INVESTMENT_INCOME,INVESTMENT_EXPENSES,TRANSFER_TO_(FROM)_P_&_L,LIFE_FUND_CF,YEARS
INSURERS,,,,,,,,,,,,,,,,2016
APA LIFE ASSURANCE COMPANY,"2,986,035","1,223,439","836,952",-,"510,861","469,747",-,-,"57,123","50,467","222,861","231,644","19,789","(90,000)","3,324,646",2016
BARCLAYS LIFE ASSURANCE,"(3,976)","1,252,818","815,900",-,"143,390","142,794",596,-,-,"255,721","331,746","76,895",-,-,"157,962",2016
BRITISH AMERICAN INSURANCE,"40,448,328","17,179,321","16,830,444",-,"5,524,280","5,367,420","468,911","795,532","156,931","2,018,840","2,591,453","2,261,134","126,336",-,"48,014,484",2016
CANNON ASSURANCE COMPANY,"1,001,906","116,717","100,858",-,"220,461","220,461",-,-,-,"3,735","111,656","67,914",-,-,"834,827",2016
CAPEX LIFE ASSURANCE COMPANY,"94,252","56,647","44,794",-,"12,108","6,658",-,-,-,"6,426","46,311","39,756",-,-,"119,406",2016
CIC LIFE ASSURANCE COMPANY,"1,039,811","4,352,847","3,615,961",-,"1,681,516","1,920,599",-,-,-,"283,279","1,147,619","411,283",-,"115,000","1,600,555",2016
CORPORATE INSURANCE COMPANY,"569,906","295,766","290,580",-,"173,327","173,327",-,-,-,"79,819","79,412","98,824",-,-,"626,754",2016
FIRST ASSURANCE COMPANY,"307,139","103,450","27,439",-,"10,762",-,-,-,-,"(20,014)","15,179","23,234",-,-,"362,648",2016
GA LIFE ASSURANCE LIMITED,"2,317,288","1,525,304","1,497,225",-,"262,174","261,874",-,-,-,"(11,882)","28,747","351,031",-,-,"3,886,804",2016
GEMINIA INSURANCE COMPANY,"424,637","288,015","264,912",-,"25,730",-,-,-,-,"5,229","14,356","69,305",-,-,"739,268",2016
ICEA LION LIFE ASSURANCE COMPANY,"41,705,634","9,525,607","9,305,231",-,"5,197,941","5,001,854","191,466",-,"662,130","447,739","912,555","5,059,489",-,"674,999","48,179,611",2016
JUBILEE INSURANCE COMPANY,"40,604,075","10,360,845","9,802,970",-,"970,296","1,329,973","4,636,498",-,-,"676,508","951,348","3,505,248","50,206","1,000,621","45,267,137",2016
