,Company,Life Fund BF,Gross Premium,Net Premium ,Other (Fee) Income,Total Benefits,Claims,Surrenders_x000D_,Bonuses Paid,Annuities Paid,Net Commisions,Expense of Management ,Investment Income,Investment Expenses,Transfer To (From) P & L,Life Fund CF
0,INSURERS,,,,,,,,,,,,,,,
1,ABSA LIFE ASSURANCE KENYA ,258704.0,3270088.0,2629035.0,0.0,537545.0,1756500.0,0.0,0.0,0.0,619654.0,543146.0,501280.0,77938.0,77611.0,314167.0
2,APA LIFE ASSURANCE COMPANY ,5107640.0,1765480.0,1238649.0,0.0,806701.0,774261.0,0.0,0.0,67525.0,83313.0,266742.0,581881.0,33121.0,5360.0,5697847.0
3,BRITAM LIFE INSURANCE COMPANY ,80149838.0,23313172.0,22978544.0,13608.0,12814469.0,8588172.0,1337521.0,2057259.0,1094913.0,1336535.0,2842888.0,3352972.0,163971.0,-3436752.0,92510455.0
4,CAPEX LIFE ASSURANCE COMPANY,473453.0,394360.0,338913.0,0.0,185175.0,83817.0,0.0,0.0,100490.0,30175.0,177823.0,117143.0,0.0,0.0,537201.0
5,CIC LIFE ASSURANCE COMPANY,3899442.0,5908970.0,4862712.0,0.0,2678506.0,3129406.0,0.0,0.0,0.0,104319.0,1151011.0,588137.0,0.0,0.0,4965556.0
6,CORPORATE INSURANCE COMPANY,614099.0,259588.0,248606.0,0.0,193730.0,343802.0,0.0,0.0,0.0,47243.0,85424.0,35253.0,0.0,0.0,421490.0
7,GA LIFE ASSURANCE COMPANY ,10792388.0,3449048.0,3402528.0,0.0,873826.0,873826.0,0.0,0.0,0.0,16900.0,85598.0,1540191.0,0.0,101066.0,14657718.0
8,GEMINIA INSURANCE COMPANY,1309009.0,990305.0,435469.0,0.0,412023.0,386550.0,0.0,0.0,0.0,-44579.0,149350.0,140741.0,8942.0,75949.0,1309009.0
9,ICEA LION LIFE ASSURANCE ,77434791.0,14820256.0,14458897.0,0.0,10628494.0,1475143.0,7988002.0,0.0,1190261.0,697609.0,1199758.0,8594671.0,0.0,615000.0,87322587.0
10,JUBILEE INSURANCE COMPANY LIMITED-LIFE,73927786.0,13323399.0,12957706.0,0.0,11292876.0,2311686.0,9258033.0,0.0,0.0,818502.0,849710.0,8426988.0,76539.0,1204546.0,80793465.0
11,KENINDIA ASSURANCE COMPANY,38206932.0,7372121.0,7331202.0,0.0,5502044.0,5434306.0,0.0,0.0,0.0,196854.0,459289.0,4872638.0,0.0,357140.0,43963183.0
12,KENYA ORIENT LIFE ASSURANCE,1058817.0,1132994.0,1084986.0,0.0,234356.0,161176.0,2480.0,0.0,78411.0,32615.0,202978.0,98605.0,0.0,0.0,1764746.0
13,KUSCCO MUTUAL ASSURANCE LIMITED,12131.0,791562.0,565222.0,0.0,257104.0,173691.0,0.0,0.0,0.0,2075.0,284292.0,44580.0,0.0,0.0,161875.0
