,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID-UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,ALL_OTHER_RESERVES,TOTAL_PAID-UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RES_ERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),INVESTMENT_IN_SUBSIDIARY,QUOTED_ORDINARY_SHARES,UNQUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE-INSURERS,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,AMOUNTS_IN_'000'_KES,,,,,,YEARS
NO.,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,,,1.0,,,52.0,2011
UNNAMED:_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
DIRECTLINE,300000,-,300000,300000,176731,-22874,-,-,453857,2397966,-,56811,2908634,256550,-,88081,1032671,-,-,-,-,102326,77348,-,-,-,697952,44206,1069,-,518784,73310,16337,2908634,,,,,,,2011
EAS_T_AFRICA_RE,600000,-,600000,600000,-,-,564268,-,1164268,1622620,-,451128,3238016,84730,-,18007,454525,-,71817,-,-,-,1200,-,19366,-,1424794,-,421514,-,27582,714481,-,3238016,,,,,,,2011
FIDELITY_SHIELD,310000,-,310000,300452,-,-,404969,85028,790449,798554,-,113945,1702948,157281,-,34977,198201,-,-,-,-,-,96807,-,710419,-,162784,-,255452,1487,23722,53978,7840,1702948,,,,,,,2011
FIRS_T_AS_S_URANCE,300000,-,300000,300000,450059,-,-,89198,839257,2329256,-,355901,3524414,136750,-,19189,418571,-,82405,48549,-,-,106800,38863,-,-,913229,650343,274691,-,35728,799296,-,3524414,,,,,,,2011
GATEWAY,325000,25000,300000,300000,135,-,763954,6090,1070179,930838,-,104829,2105846,175000,814000,11496,169900,-,-,-,-,-,42917,18949,222,-,380691,-,138561,288492,16566,48912,140,2105846,,,,,,,2011
GEMINIA,300000,-,300000,300000,-,167085,152780,21646,641511,905525,-,147043,1694079,20595,546788,32180,337500,-,-,-,-,-,69687,63806,1132,-,324700,25500,85687,6407,27789,100874,51434,1694079,,,,,,,2011
GA,300000,-,300000,300000,-,93145,309770,468685,1171601,3014060,-,354753,4540414,692200,-,42974,599972,-,-,-,-,-,162349,201250,237750,-,967020,-,254856,951032,42771,272412,115829,4540414,,,,,,,2011
HERITAGE,350000,-,350000,350000,-,103038,734981,-,1188019,2405895,227325,137985,3959224,385553,205381,111708,940550,-,-84,-,-,88369,274435,174256,227570,13265,231878,-,205571,77173,248683,770191,4725,3959224,,,,,,,2011
ICEA,300000,-,300000,300000,-,-,1170569,-,1470569,2008699,122463,644919,4246650,845600,-,47726,1027279,-,-,-,-,-,530019,-,10696,-,120849,302579,191724,138771,30157,1001250,-,4246650,,,,,,,2011
INTRA_AFRICA,400000,-,400000,300000,-,67241,-,188572,555813,579829,-,30975,1166617,-,173650,116910,246200,-,7181,-,-,-,35019,-,14466,-,167071,-,294169,-,33343,75504,3104,1166617,,,,,,,2011
