,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID-UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,ALL_OTHER_RESERVES,TOTAL_PAID-UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RES_ERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),INVESTMENT_IN_SUBSIDIARY,QUOTED_ORDINARY_SHARES,UNQUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE-INSURERS,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
UNNAMED:_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCIDENTAL,346500,-,346500,346500,39949,-,59576,25200,471225,890460,106415,82639,1550739,370000,-,12806,626701,-,-,-,-,-,14261,126825,-,-,10618,-,96260,-,57337,235523,408,1550739
PACIS,300000,-,300000,300000,73040,-11156,-,4709,366593,407730,-,51838,826161,158050,-,61830,217843,-,-,-,-,-,29003,-,-,-,82686,-,-,72518,24697,175009,4525,826161
PHOENIX,300000,-,300000,300000,-,286049,480607,-,1066656,522736,-,177777,1767169,-,163307,2198,126633,-,-,-,-,-,800837,-,-,-,35184,-,-,-,-,794,638216,1767169
REAL,300000,-,300000,300000,-,-,284906,61973,646879,983956,10473,432739,2074047,-,-,34833,138916,-,35076,-,-,212599,43848,-,-,-,37569,-,269424,279857,23265,918258,80403,2074047
TAUS_I,400000,69576,330424,330424,-,-6361,102603,80751,507417,930385,27178,70018,1534998,123408,-,14467,392933,-,57802,-,-,-,60349,1114,63152,-,381346,-,30701,10004,14633,373532,11557,1534998
THE_MONARCH,316476,-,316476,316476,-,-,-,-25462,291014,234074,2006,26615,553709,158000,-,24692,94806,-,-,-,-,-,1016,59,75000,2831,1872,18504,-,40870,14824,112592,8643,553709
TRIDENT,300000,-,300000,300000,-,-,367807,14301,682108,1586232,222098,224570,2715008,81600,1030507,13395,210871,-,20000,-,-,-,12799,7338,388606,-,9011,-,239694,58927,238914,403346,-,2715008
UAP_INS_URANCE,600000,-,600000,600000,-,639128,1947240,-,3186368,3367573,-,1185253,7739194,-,2040000,58382,566732,-,-,-,-,-,1795728,-,109770,-,61616,-,558705,874076,121232,1552953,-,7739194
TAKAFUL,385203,-,385203,385203,-,-,-95827,-,289376,170166,23634,25617,508793,-,-,57695,27668,-,-,-,-,-,-,-,-,-,101864,-,82072,-,102718,116284,20492,508793
XPLICO,300000,-,300000,300000,7149,-,-,-,307149,119248,-,16190,442587,-,57500,30991,15000,-,-,-,-,-,-,-,-,-,-,-,-,-,71365,267731,-,442587
TOTAL,16345459,263188,16082271,15811335,2617655,550335,20470727,4700614,44150666,61088999,2370411,9379502,116989578,6695545,9694978,2101422,20730744,-,527603,48549,573,1847739,10182241,3112375,2578764,91937,14755189,7003878,7947479,7179300,2793138,18356816,1341312,116989578
