,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets
AAR INSURANCE KENYA ,500000,660523,0,0,-88725,0,1071797,2014487,0,0,942026,4028310,0,0,81154,931673,0,0,106067,0,0,0,0,0,0,0,0,1324303,423772,264786,615597,122164,158795,4028310
AFRICAN MERCHANT ASSURANCE ,987386,0,15885,0,469618,0,1472889,1429616,0,0,502389,3404894,725694,535000,107865,511184,0,0,0,0,0,2227,0,0,0,7889,0,290445,29070,867589,16372,267717,43842,3404894
AIG INSURANCE COMPANY ,450000,0,-40521,0,1525366,150000,2084844,1023872,0,0,2089037,5197753,0,0,139590,3794350,0,0,0,0,0,0,0,0,0,11321,0,2057,225608,662275,34380,318892,9282,5197753
ALLIANZ INSURANCE COMPANY,1340290,0,0,0,-337942,0,1002348,328335,0,0,702802,2033485,0,0,44603,912050,0,0,0,0,0,0,0,0,0,0,0,268011,146853,56610,196573,35937,372850,2033485
APA INSURANCE COMPANY ,1250000,0,0,0,2933625,894224,5077849,7537515,0,0,835385,13450749,0,1020000,76802,6351757,30197,662479,223731,0,0,1391929,11882,0,0,41003,76850,1319255,74839,996425,48633,806903,318065,13450749
BRITAM GENERAL INSURANCE COMPANY,2668000,0,0,0,47539,0,2715539,5761604,0,0,1853074,10330217,0,0,98292,5435467,0,0,170738,0,0,0,0,0,0,0,0,1761801,347989,996299,11,926477,593143,10330217
CIC GENERAL INSURANCE COMPANY,1700000,0,0,0,2619773,-96301,4223471,7298551,0,0,539634,12061657,234000,1602000,118227,2458715,185670,0,96945,66412,0,500780,20236,0,0,700000,60521,1605152,536184,2397696,425713,947557,105849,12061657
CONTINENTAL REINSURANCE ,800000,0,1012,0,511169,0,1312180,1754822,0,0,98153,3165155,0,0,13511,1052974,0,0,0,0,0,0,0,0,0,5319,2991,172313,18274,844000,0,621667,434105,3165155
CORPORATE INSURANCE COMPANY ,400000,0,0,0,313690,0,713690,699863,0,0,83460,1497014,0,727523,5272,107698,0,0,0,0,0,0,788,0,0,0,0,3088,11331,408155,27444,161504,44211,1497014
DIRECTLINE ASSURANCE COMPANY,300000,0,-118035,0,375315,0,557279,4401519,0,0,598869,5557667,380500,781516,26692,811933,0,516612,0,0,0,109471,0,0,0,729482,0,408490,142951,170753,0,1414517,64751,5557667
EAST AFRICA REINSURANCE COMPANY ,1000000,0,281068,0,2794949,3950,4079967,2684286,0,124674,1070453,7959381,480407,800000,9179,2245671,0,0,192805,0,0,45335,0,0,0,13575,75819,1863533,243512,389073,928054,265267,407152,7959381
FIDELITY SHIELD INSURANCE COMPANY ,600000,0,106980,0,459803,0,1166783,1780852,0,0,156979,3104614,272117,1015883,6590,893196,0,0,0,0,0,52063,0,0,0,19,6583,233184,108888,257734,0,194225,64132,3104614
FIRST ASSURANCE COMPANY ,810000,512139,256865,0,94377,0,1673380,1976771,0,0,1126321,4776472,439000,1450000,32298,1141673,0,0,20785,0,0,0,0,0,0,21896,0,447393,110445,672084,0,341412,99486,4776472
GA GENERAL INSURANCE COMPANY,700000,0,872516,0,3052614,377479,5002609,4850612,0,5561,1671379,11530161,1170000,1663413,48239,3923483,0,566621,43353,0,0,439970,364931,0,0,244802,0,762507,121800,1637892,18228,129816,395105,11530161
GEMINIA INSURANCE COMPANY LIMITED,550000,0,0,0,1456194,220193,2226387,3556255,0,0,457942,6240584,380000,1009000,250369,889003,0,86571,0,0,0,174054,7647,0,0,141989,0,1321736,232358,1191557,0,161946,394354,6240584
GHANA REINSURANCE COMPANY LIMITED,1000000,10871,0,0,121459,0,1132330,298338,0,0,75648,1506317,30789,0,7320,987453,0,0,0,0,0,0,0,0,0,1350,0,89258,29605,301760,0,21123,37658,1506317
HERITAGE INSURANCE COMPANY ,1000000,0,0,0,2471899,0,3471899,3473159,0,0,930633,7875691,0,0,61991,4429968,0,146557,28693,0,0,11304,0,0,0,40397,216203,1161266,490459,616706,6688,561545,103915,7875691
ICEA LION GENERAL INSURANCE COMPANY ,1000000,0,-13216,0,3819538,150000,4956322,4125019,0,306019,1536148,10923507,0,2765000,69778,4832722,50510,50147,156832,0,0,1004468,7568,0,0,26775,0,335800,21779,655041,94909,605576,246602,10923507
INTRA-AFRICA ASSURANCE COMPANY ,500000,0,357572,0,81256,0,938828,1021290,0,65677,57889,2083684,134775,321725,25818,336855,0,0,0,0,0,58156,0,0,0,30141,12733,302429,44606,613438,90368,0,112642,2083684
INVESCO ASSURANCE COMPANY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUBILEE GENERAL INSURANCE,2307000,0,0,0,0,0,2307000,3693179,0,0,505013,6505191,0,0,25735,2463793,0,0,0,0,0,0,0,0,0,0,0,446956,1260404,1971898,-94414,212883,217937,6505191
JUBILEE HEALTH INSURANCE,2763720,0,0,0,0,0,2763720,2403928,0,0,482683,5650330,0,0,25913,957323,0,1407975,0,0,0,466792,696556,402,0,0,36923,56645,448495,797808,214279,447263,93956,5650330
KENINDIA ASSURANCE COMPANY ,400000,1198,376628,0,1846602,427860,3052288,3052903,0,310714,1460216,7876121,790571,1272800,62360,2752720,0,105612,52799,0,0,41393,624274,0,0,13030,0,359659,84323,344121,0,1342809,29650,7876121
KENYA ORIENT INSURANCE COMPANY ,810721,0,-79171,0,-1065981,382000,47569,1415877,0,203668,598127,2265242,108000,194500,16833,153297,0,134000,0,0,0,9819,332029,0,0,0,0,41605,81423,631791,75373,402810,83762,2265242
KENYA REINSURANCE CORPORATION,6499491,0,17530,0,19011449,208339,25736809,11116138,0,0,840485,37693433,0,10330225,66794,13069364,0,5633316,156450,0,0,1218978,205733,81,0,0,668076,1231788,346207,1951838,602478,746512,1465592,37693433
MADISON GENERAL INSURANCE COMPANY,605000,0,0,0,565602,0,1170602,2850764,0,0,421944,4443310,0,650000,39388,459561,0,0,0,0,0,1319,490000,0,0,0,0,1130167,135349,724747,436074,0,376704,4443310
MAYFAIR INSURANCE COMPANY ,1000000,0,456658,0,1449530,0,2906188,2262240,0,0,445194,5613622,265885,426088,96990,1588695,0,710899,0,0,0,159880,659168,0,0,9846,0,975933,63810,517279,0,132330,6820,5613622
METROPOLITAN CANNON INSURANCE,453960,583040,0,0,-143067,0,893933,1063047,0,0,289399,2246378,92500,264000,16293,1134797,0,18526,0,0,0,0,42675,0,0,425,31699,294775,32654,89286,18519,147907,62322,2246378
MUA INSURANCE COMPANY,300000,0,9981,0,553834,0,863816,469141,0,0,215564,1548520,0,0,12533,607456,0,143807,0,0,0,64274,0,0,0,2157,0,115553,11948,468154,9901,68245,44492,1548520
OCCIDENTAL INSURANCE COMPANY ,693000,0,51465,0,730430,85010,1559905,1825376,0,0,457021,3842302,0,410000,69257,1485648,0,0,7251,0,0,262421,825,0,0,0,0,238943,108790,739334,206204,188149,125479,3842302
PACIS INSURANCE COMPANY ,617350,5712,0,0,110008,0,733070,1132995,0,0,412905,2278970,113850,730000,30620,238076,0,0,0,0,0,38412,177009,0,0,0,0,93514,17621,601175,0,172017,66675,2278970
PIONEER GENERAL INSURANCE ,700000,0,0,0,-2411,0,697589,581793,0,0,125739,1405120,0,300000,14360,79266,0,0,0,0,0,0,0,0,0,870,0,390368,137165,295359,104526,20900,62306,1405120
AAR INSURANCE KENYA ,500000,660523,0,0,-597384,0,563138,2715606,0,0,537265,3816009,0,0,92304,1366924,0,0,108981,0,0,0,0,0,0,0,0,608649,262446,455690,333332,375377,212306,3816009
AFRICAN MERCHANT ASSURANCE ,987386,0,16222,0,545835,0,1549442,1545366,0,0,297488,3392297,731610,535000,123403,507375,0,0,0,0,5350,21435,0,0,0,9070,0,378822,81242,668991,37438,193654,98906,3392297
AIG INSURANCE COMPANY ,450000,0,17251,0,1410391,300000,2177642,986999,0,0,1956504,5121145,0,0,137764,3248307,0,0,0,0,0,0,0,0,0,15196,0,380786,185253,730610,70322,340607,12300,5121145
