,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID-UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,ALL_OTHER_RESERVES,TOTAL_PAID-UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENT_IN_SUBSIDIARY,QUOTED_ORDINARY_SHARES,UNQUOTED_ORDINARY_SHARES,SECURED_LOANS,UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE-INSURERS,REINSURERS'_SHARE_OF_TECHNICAL_LIABILITIES,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,,Amounts in KES '000'
AMACO,500000,-,500000,500000,-,-,182614,3437,686051,1507679,-,117261,2310991,-,335750,105321,217000,-,-,-,-,-,-,-,-,-,591572,-,460500,18334,455103,60579,65078,1754,2310991,
APA,750000,-,750000,750000,-,-4745,1729491,49281,2524027,6398089,-,366708,9288824,115000,670000,61887,2425683,-,-,-,-,155949,1736426,109302,71749,64015,1429034,-,1050888,58729,952452,5952,103610,278148,9288824,
BRITAM,300000,-,300000,300000,-,-,735105,506931,1542036,4001688,9722,264236,5817682,-,-,32995,1596342,-,-,-,-,-,628639,,230213,-,174880,355181,314497,-,2258433,64844,144468,17190,5817682,
CANNON,300000,-,300000,300000,-,-,699713,147589,1147302,1621385,-,156495,2925182,70000,853191,15510,381190,-,32755,-,-,,327037,266353,34522,-,135359,-,211939,59605,339802,2916,187874,7129,2925182,
AIG_KENYA,300000,-,300000,300000,,9108,759720,-,1068828,2438423,-,679029,4186280,-,163500,104869,1694689,-,-,-,-,-,110062,-,-,,377906,-,223384,-,1200954,125877,178155,6884,4186280,
CIC_GENERAL,700000,-,700000,700000,-,-,1656773,3639,2360412,5911250,-,304598,8576260,-,1032452,113394,1027172,-,-,-,-,-,113523,19844,220651,-,2194693,-,1062584,-,1872498,196372,723077,-,8576260,
CORPORATE,300000,-,300000,300000,-,-,50000,281652,631652,438238,-,62418,1132308,-,492500,5751,107972,-,-,-,-,-,1718,-,-,-,191603,-,131813,31584,109914,45705,13587,161,1132308,
DIRECTLINE,300000,-,300000,300000,238369,27847,88365,-,654581,2793940,-,59939,3508460,303000,-,72703,970787,-,-,-,-,-,163591,-,25531,-,1337229,-,49440,-,-,448396,113477,24306,3508460,
EAST_AFRICA_RE,650000,-,650000,650000,110297,-,765890,-,1526187,1893215,-,596812,4016214,216000,-,9010,333690,-,77313,-,-,-,-,-,18149,-,2157019,-,525129,92170,217310,34238,336186,-,4016214,
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Amounts in KES '000'
FIDELITY_SHIELD,310000,-,310000,300452,-,-,452666,149090,902208,1144695,-,179185,2226088,204387,708113,36873,178892,-,-,-,-,-,77903,-,43776,-,347288,-,248757,1210,295441,29102,54346,-,2226088,
