,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets,Amounts in thousand Shillings                                                                                                                                                                                               ,years, Amounts in thousand Shillings                                                                                                                                                                                              ,Ordinary Shares UnQuoted,Amounts in thousand Shillings
AAR INSURANCE KENYA ,500000.0,660523.0,0.0,0.0,145734.0,0.0,1306256.0,1887516.0,0.0,0.0,1034784.0,4228557.0,0.0,0.0,62531.0,1523880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140393.0,562511.0,498083.0,265810.0,68002.0,107346.0,4228557.0,,2020,,,
AFRICAN MERCHANT ASSURANCE ,987386.0,0.0,15474.0,0.0,60598.0,0.0,1063458.0,1869988.0,0.0,0.0,532121.0,3465567.0,720927.0,535000.0,94006.0,468747.0,0.0,0.0,0.0,0.0,0.0,1815.0,0.0,0.0,0.0,6799.0,0.0,234987.0,14338.0,973938.0,9345.0,363370.0,42295.0,3465567.0,,2020,,,
AIG INSURANCE COMPANY ,600000.0,0.0,20647.0,0.0,1414830.0,150000.0,2185477.0,1040058.0,0.0,0.0,1051769.0,4277305.0,0.0,0.0,142148.0,2632149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9885.0,0.0,253172.0,171960.0,747178.0,31211.0,272109.0,17493.0,4277305.0,,2020,,,
ALLIANZ INSURANCE COMPANY,1340290.0,0.0,0.0,0.0,-638830.0,0.0,701460.0,355059.0,0.0,0.0,588763.0,1645282.0,0.0,0.0,39181.0,887929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172456.0,365082.0,38431.0,19021.0,22890.0,100292.0,1645282.0,,2020,,,
APA INSURANCE COMPANY ,1250000.0,0.0,0.0,0.0,2547465.0,1059674.0,4857139.0,7274190.0,0.0,0.0,1002477.0,13133807.0,0.0,1020000.0,65499.0,7441441.0,34095.0,246772.0,99504.0,0.0,0.0,689284.0,12952.0,0.0,0.0,28212.0,72393.0,1196411.0,75725.0,1058703.0,49990.0,736936.0,305891.0,13133807.0,,2020,,,
BRITAM GENERAL INSURANCE COMPANY,2668000.0,0.0,0.0,0.0,411187.0,0.0,3079187.0,6929356.0,0.0,0.0,1688741.0,11697284.0,0.0,0.0,77668.0,8227382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550380.0,479566.0,1003694.0,13554.0,823795.0,521244.0,11697284.0,,2020,,,
CIC GENERAL INSURANCE COMPANY,1700000.0,0.0,0.0,0.0,2635128.0,-111930.0,4223198.0,7663652.0,0.0,0.0,710189.0,12597039.0,234000.0,1602000.0,82273.0,3424793.0,648751.0,0.0,32134.0,0.0,0.0,375170.0,15124.0,0.0,0.0,787740.0,51768.0,1756016.0,67060.0,2304716.0,347110.0,338759.0,529627.0,12597039.0,,2020,,,
CONTINENTAL REINSURANCE ,1000000,0,898,0,523648,0,1524546,1834766,0,0,93424,3452735,0,0,6664,1040731,0,0,0,0,0,0,0,0,0,4397,2218,389272,17537,1132099,0,859818,0,3452735,Continued next page,2020,,,
CORPORATE INSURANCE COMPANY ,400000.0,0.0,0.0,0.0,233293.0,0.0,633293.0,941201.0,0.0,0.0,72607.0,1647102.0,0.0,603558.0,5102.0,108375.0,0.0,0.0,0.0,0.0,0.0,0.0,767.0,0.0,0.0,0.0,0.0,214692.0,45571.0,458112.0,49900.0,98712.0,62314.0,1647102.0,,2020,,,
DIRECTLINE ASSURANCE COMPANY,300000.0,0.0,-109763.0,0.0,-1255.0,0.0,188982.0,4417839.0,0.0,0.0,412022.0,5018843.0,0.0,2002500.0,25398.0,527515.0,0.0,502978.0,0.0,0.0,0.0,86755.0,0.0,0.0,0.0,734466.0,0.0,207808.0,94911.0,104540.0,0.0,679659.0,52311.0,5018843.0,,2020,,,
