,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENTS_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
NO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
AIG (K),160002,0,0,160002,0,0,132398,0,292400,567797,0,462241,1322438,0,0,93933,408686,0,0,0,0,0,0,0,0,293806,156823,64635,171174,99829,33552,1322438
AMACO,160000,0,0,160000,0,0,35683,0,195683,184643,0,58991,439317,212543,0,46883,15500,0,0,0,0,0,0,0,0,34174,91476,14390,12148,12203,0,439317
APA,250000,0,0,250000,0,0,1406384,13531,1669915,1937853,0,132190,3739958,78500,471500,16993,294493,0,0,0,0,8589,1834557,50964,22799,104025,496240,167028,29501,143930,20839,3739958
"BLUE
SHIELD",250000,150000,100000,200000,0,-10626,301579,0,490953,1505714,40615,323495,2360777,534862,0,63390,125660,0,0,0,0,0,74076,19152,0,475384,606761,273183,75318,112991,0,2360777
"BRITISH
AMERICAN",100000,0,0,100000,0,0,186776,60000,346776,387550,60711,47415,842452,0,,18412,129000,0,0,0,0,0,333924,0,0,15000,103704,221515,11390,0,9507,842452
CANNON,100000,0,0,100000,0,0,161750,0,261750,441933,0,105444,809127,0,224941,6363,120831,0,0,0,0,0,204622,0,0,32174,101652,79206,14615,24723,0,809127
CFC LIFE,100000,0,0,100000,0,0,20209,0,120209,446589,0,12477,579275,0,0,0,499917,0,0,0,0,0,0,0,0,0,42805,18513,,18040,0,579275
CONCORD,120000,0,0,120000,0,0,6784,24588,151372,306603,64595,22170,544740,0,82440,7944,58066,0,0,0,0,0,33871,0,0,45879,236009,32535,9310,38686,0,544740
COOPERATIVE,150000,21329,128671,128671,0,0,37835,0,166506,734483,0,134128,1035117,0,0,114777,203850,0,0,0,0,0,15287,0,0,230396,267524,140440,9817,53026,0,1035117
CORPORATE,100000,0,0,100000,0,0,37700,-15427,122273,274472,0,195173,591918,105000,178700,7121,20250,0,0,0,0,0,17936,0,0,1719,213101,23244,7502,17345,0,591918
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,22,23,24,25,26,27,28,29,30,31,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTLINE,270000,25079,0,244921,3591,0,0,0,248512,121486,0,177953,547951,0,0,10907,11815,0,0,0,,0,144921,0,0,150000,157848,60121,12339,0,0,547951
"EAST
AFRICA-RE",600000,0,0,600000,0,0,189536,0,789536,730029,0,435243,1954808,0,0,10478,503798,0,0,0,,0,25363,24354,0,518479,608664,,243617,12186,7869,1954808
"FIDELITY
SHIELD",150000,38900,0,111100,40971,0,0,82175,234246,523541,0,69600,827387,0,0,178520,140374,0,0,0,,0,122100,69142,0,121471,145665,9279,9050,31786,0,827387
