,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID-UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,ALL_OTHER_RESERVES,TOTAL_PAID-UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RE-_SERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),INVESTMENT_IN_SUBSIDIARY,QUOTED_ORDINARY_SHARES,UNQUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE-INSURERS,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,FIGURES_IN_THOUSANDS_KSHS.,,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES"
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,,Bima Bora Kwa Taifa,
UNNAMED:_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARTIS_(K),300000.0,0.0,300000.0,300000.0,0.0,78430.0,247692.0,0.0,626122.0,934199.0,0.0,902665.0,2462986.0,0.0,105000.0,89341.0,1147633.0,0.0,0.0,0.0,0.0,0.0,107181.0,0.0,0.0,0.0,615514.0,0.0,200787.0,0.0,57675.0,127142.0,12713.0,2462986.0,,,
AMACO,500000.0,0.0,500000.0,440000.0,0.0,0.0,265530.0,0.0,705530.0,805019.0,0.0,351022.0,1861571.0,335750.0,0.0,110494.0,230000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406304.0,60479.0,233736.0,0.0,155231.0,329102.0,475.0,1861571.0,,,
APA,500000.0,0.0,500000.0,500000.0,0.0,-136229.0,1635470.0,33281.0,2032522.0,4659766.0,0.0,377265.0,7069553.0,99000.0,534000.0,56059.0,1909841.0,0.0,0.0,0.0,0.0,145423.0,1976024.0,89040.0,53803.0,79403.0,265735.0,0.0,540868.0,715216.0,79617.0,324891.0,200633.0,7069553.0,,,
BLUE_SSHIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITAK,300000.0,,300000.0,300000.0,0.0,0.0,591072.0,405296.0,1296368.0,1538920.0,0.0,86463.0,2921751.0,0.0,0.0,22157.0,378103.0,,414478.0,,,,1091574.0,0.0,55136.0,,116586.0,0.0,98518.0,413448.0,44176.0,287575.0,,2921751.0,,,
CANNON,300000.0,0.0,300000.0,300000.0,0.0,0.0,351533.0,92762.0,744295.0,1363434.0,0.0,136294.0,2244023.0,55000.0,591154.0,12531.0,194409.0,0.0,24500.0,,,,440879.0,91119.0,,,162974.0,0.0,269024.0,108287.0,2326.0,287503.0,4317.0,2244023.0,,,
CFC_LIFE,460000.0,0.0,460000.0,460000.0,0.0,78870.0,-455383.0,0.0,83487.0,131898.0,0.0,199000.0,414385.0,0.0,0.0,0.0,159282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99990.0,0.0,10259.0,65759.0,0.0,79095.0,,414385.0,,,
CON_CORD,150000.0,0.0,150000.0,150000.0,0.0,0.0,-9410.0,38407.0,178997.0,435780.0,65304.0,48336.0,728417.0,0.0,150550.0,7353.0,73850.0,0.0,0.0,0.0,0.0,0.0,57940.0,0.0,0.0,0.0,56212.0,0.0,231885.0,24901.0,35434.0,90292.0,,728417.0,,,
