,SHARE CAPITAL,SHARE PREMIUM,REVALUATION RESERVES,STATUTORY RESERVES,RETAINED EARNINGS,OTHER RESERVES,TOTAL EQUITY,UNDERWRITING PROVISIONS,ACTUARIAL CONTRACT LIABILITIES,LONGTERM LIABILITIES,CURRENT LIABILITIES,TOTAL EQUITY AND LIABILITIES,LAND AND BUILDINGS,INVESTMENT PROPERTY,OTHER FIXED ASSETS,GOVERNMENT SECURITIES,OTHER SECURITIES,INVESTMENT IN RELATED COMPANIES,CORPORATE BONDS,COMMERCIAL PAPERS,DEBENTURES,ORDINARY SHARES QUOTED,ORDINARY SHARES UNQUOTED,PREFERENCE SHARES QUOTED,PREFERENCE SHARES UNQUOTED,LOANS SECURED & UNSECURED,MORTGAGES,TERM DEPOSITS,CASH AND CASH BALANCES,OUTSTANDING PREMIUMS,OTHER RECEIVABLES,OTHER ASSETS,INTANGIBLE ASSETS,TOTAL ASSETS
AAR INSURANCE KENYA,"400,000","600,523",-,-,"-2,354",-,"998,168","3,678,975",-,-,"483,023","5,160,166",-,-,"102,556","1,223,000",-,-,"107,595",-,-,-,-,-,-,-,-,"2,013,412","197,092","987,618","234,138",-,"294,755","5,160,166"
"AFRICAN MERCHANT ASSURANCE
COMPANY","987,386",-,-,-,"523,650","15,156","1,526,192","2,173,439",-,-,"269,502","3,969,134","729,066","525,000","134,973","490,086",-,-,"16,362",-,-,"20,370",-,-,-,"19,736",-,"541,378","84,041","1,179,009","46,634","169,080","13,398","3,969,134"
AIG INSURANCE COMPANY,"450,000",-,"-12,197",-,"1,215,782","250,000","1,903,585","1,661,978",-,-,"640,821","4,206,384",-,"510,000","56,277","2,619,527",-,-,-,-,-,-,-,-,-,"16,418",-,"204,762","55,993","421,551","89,880","182,901","49,074","4,206,384"
ALLIANZ INSURANCE COMPANY,"1,000,000",-,-,-,"-27,606",-,"972,394","29,728",-,-,"70,168","1,072,290",-,-,"37,288","97,520",-,-,-,-,-,-,-,-,-,-,-,"726,264","97,251","22,381",-,"70,461","21,125","1,072,290"
APA INSURANCE COMPANY,"1,250,000",-,-,-,"3,618,038","394,980","5,263,018","8,260,637",-,-,"804,057","14,327,712",-,"1,225,000","105,198","6,548,144",-,"597,913","280,278","11,484",-,"1,488,887","25,734",-,-,"57,047","49,832","990,747","39,724","2,337,588","100,118","236,097","233,921","14,327,712"
BRITAM GENERAL INSURANCE COMPANY,"2,668,000",-,-,-,"246,958",-,"2,914,958","5,604,168",-,-,"950,252","9,469,378","42,271",-,"159,323","3,914,543","385,385",-,"519,756",-,-,"414,284","8,675",-,-,-,-,"832,369","581,749","1,195,462","284,602","367,409","763,549","9,469,378"
CANNON ASSURANCE COMPANY,"300,000",-,-,-,"32,810",-,"332,810","1,623,398",-,-,"378,159","2,334,367","105,000","270,000","41,006","553,288",-,"30,000","29,672",-,-,"251,758","299,720",-,-,"12,287","33,940","76,205","19,024","336,517","171,473","36,087","68,390","2,334,367"
CIC GENERAL INSURANCE COMPANY,"1,700,000",-,-,-,"2,379,581","-91,173","3,988,408","7,359,333",-,-,"634,539","11,982,281","229,000","1,536,000","259,232","2,110,120","510,940",-,"235,828","25,390",-,"356,222","19,776",-,-,"191,948","144,850","1,326,440","381,207","3,593,850","342,023","237,656","481,798","11,982,281"
CONTINENTAL REINSURANCE,"500,000",-,"-3,066",-,"308,578",-,"805,512","476,425",-,-,"150,125","1,432,062",-,-,"15,866","470,641",-,-,"65,265",-,-,"35,344",-,-,-,"5,548","24,878","131,612","13,070","622,035","27,804","19,999",-,"1,432,062"
CORPORATE INSURANCE COMPANY,"400,000",-,-,-,"526,734",-,"926,734","299,095",-,-,"101,797","1,327,626",-,"800,000","3,935","169,550",-,-,-,-,-,"1,259","1,001",-,-,"2,722",-,"17,745","4,609","259,985","30,198","21,883","14,739","1,327,626"
