,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENT_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
NO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
APOLLO,150000,0,150000,150000,0,19278,814147,0,983425,311373,363130,244261,1902189,0,207350,2920,239833,0,0,0,0,168880,920901,21090,24847,44931,0,71278,49046,151113,0,1902189
"BLUE
SHIELD",50000,0,50000,50000,0,0,23330,,73330,20455,248283,20584,362652,33746,43012,548,158965,0,0,0,0,0,0,16283,0,80546,10378,,5596,13578,0,362652
BRITAK,50000,0,50000,50000,0,0,35989,7002,92991,5027261,0,592070,5712322,145429,836558,51353,826551,0,7300,0,0,0,1889942,1051341,560399,14251,26800,26921,82275,151172,42030,5712322
CANNON,50000,0,50000,50000,254260,0,0,0,304260,419403,0,106662,830325,255320,0,2332,214413,0,0,0,0,0,248318,35869,0,34517,0,0,14288,22838,2430,830325
CFC LIFE,62340,0,62340,62340,0,137136,0,256563,456039,7062770,4534,358680,7882023,476044,0,79639,3768681,0,0,0,0,0,1557905,509032,0,715039,3519,31830,66441,493530,180363,7882023
COOPERATIVE,50000,0,50000,50000,0,0,0,0,50000,547420,0,24568,621988,192500,83212,0,151261,0,0,0,0,0,0,113273,0,0,30479,13199,16223,21841,0,621988
CORPORATE,51200,0,51200,51200,0,0,0,961,52161,81302,786,2728,136977,0,30000,458,11000,0,0,0,0,0,962,23861,0,0,0,82,639,69975,0,136977
E.A- RE,0,0,0,0,0,0,21487,0,21487,72173,0,19919,113579,0,0,0,24667,0,0,0,0,0,12358,0,0,18160,26824,0,31053,517,0,113579
"FIRST
ASSURANCE",7000,0,7000,7000,0,0,-2670,0,4330,3637,6966,109,15042,0,0,1872,4950,0,0,0,0,0,0,0,0,4013,3348,0,859,0,0,15042
