,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID-UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,ALL_OTHER_RESERVES,TOTAL_PAID-UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),INVESTMENT_IN_SUBSIDIARY,UNQUOTED_ORDINARY_SHARES,QUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE-INSURERS,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
APOLLO,150000,0,150000,150000,6223,-19771,0,135489,271941,433606,883405,31414,1620366,350000,87647,7037,626058,0,0,0,0,0,41880,361642,3503,0,64773,0,0,0,15473,62353,0,1620366
BRITAK,180000,0,180000,180000,576457,2300483,249999,52257,3359196,13586041,0,484262,17429499,222778,0,162559,3638505,0,0,0,0,0,0,5363487,989922,0,4826857,1581362,53871,63783,283087,154149,89139,17429499
CANNON,150000,0,150000,150000,269660,0,298616,0,718276,676136,0,91265,1485677,65000,478156,4720,361398,0,10065,0,0,0,0,140638,119404,0,274442,0,0,0,3338,23049,5467,1485677
CFC LIFE,152340,0,152340,152340,318022,350521,0,0,820883,11900696,1057,510887,13233523,603623,0,285314,6280800,0,0,0,0,0,2233,1684727,873874,0,1466816,1494386,14470,20450,122592,283305,100934,13233523
COOPERATIVE,686775,0,686775,686775,0,0,0,720198,1406973,1641598,0,457463,3506034,129785,294020,145081,1206318,0,0,0,0,0,0,62183,186086,0,1231089,0,25522,4853,44187,176910,0,3506034
CORPORATE,150000,0,150000,150000,0,0,0,1529,151529,270970,2270,7344,432113,0,223636,555,89806,0,0,0,0,0,0,1514,29582,0,50753,0,0,0,35059,1208,0,432113
EAS T AFRICA RE,150000,0,150000,150000,0,0,134036,0,284036,164999,0,115902,564937,0,0,0,174396,0,10209,0,0,0,0,262,0,0,333612,0,29169,2917,244,8571,5557,564937
"FIRS T
AS S URANCE",150000,0,150000,150000,0,0,0,37728,187728,74069,12129,9616,283542,0,55000,445,91275,0,9476,0,0,0,0,17106,0,0,36557,0,2488,65054,5991,150,0,283542
GEMINIA,150000,0,150000,150000,0,0,0,0,150000,175229,0,19704,344933,0,0,0,139100,6000,0,0,0,0,0,0,725,0,181000,0,0,3981,4234,9893,0,344933
UNNAMED: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
HERITAGE,150000,0,150000,150000,2985,-33390,273980,0,393575,1693670,0,-69484,2017761,24465,0,721,1182698,0,46799,0,0,0,29117,249790,47775,594,165516,253294,0,0,9,16984,0,2017762
ICEA,150000,0,150000,150000,0,0,0,0,150000,23555119,0,333966,24039085,0,0,1309,12804141,0,0,0,0,0,9823,2561373,303670,0,1608418,6565913,0,10941,125158,48339,0,24039085
JUBILEE,200000,0,200000,200000,448784,0,0,0,648784,18459951,35051,299897,19443683,0,0,17334,8109692,0,678947,0,0,0,2138247,3492654,301826,0,1228431,2570331,127267,8834,449306,320814,0,19443683
KENINDIA,161388,0,161388,161388,0,0,29862,318516,509766,11004430,0,190662,11704858,614151,0,8010,9880480,0,0,0,0,0,675,570164,75974,0,424175,9714,0,60730,29416,31369,0,11704858
"KENYAN
ALLIANCE",150000,0,150000,150000,6000,0,380173,0,536173,3557,0,5727,545457,0,0,1051,142400,0,252586,0,0,0,0,0,0,0,104422,0,14440,3711,0,26847,0,545457
KENYA RE,0,0,0,0,0,0,0,3742815,3742815,0,0,1123,3743938,960000,0,0,1194279,0,0,0,0,0,0,0,0,1467636,0,0,0,121375,648,0,0,3743938
KNAC (2001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADIS ON,150000,0,150000,150000,0,0,0,254803,404803,2995240,0,50465,3450508,0,0,11308,601977,0,0,0,0,0,495971,93334,188680,0,600149,1300000,0,9133,18314,131643,0,3450508
MERCANTILE,150000,0,150000,150000,0,-22370,0,0,127630,539072,0,5460,672162,62240,0,3267,176756,0,0,0,0,0,0,11594,6343,0,393228,0,445,6911,5011,6367,0,672162
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,33
METROPOLITA N LIFE,420000,12365,407635,407635,0,0,0,-78899,328736,5224,195612,37693,567265,0,3179,77069,233672,0,0,0,0,0,0,29555,0,0,187760,8873,7617,4837,9623,5080,0,567265
OLD MUTUAL,1000000,275014,724986,724986,1159971,0,-980940,72435,976452,7143753,0,467138,8587343,200120,0,69084,2075986,0,0,0,0,0,237966,2113442,435588,0,2505127,675987,0,0,103634,160679,9730,8587343
PAN AFRICA LIFE,500000,300000,200000,200000,0,0,-16567,30260,213693,9093337,33535,361530,9702095,0,0,114014,4347976,0,0,0,0,0,0,1547183,775865,0,1902652,481000,81242,58381,228753,165029,0,9702095
PIONEER,150000,0,150000,150000,0,0,150710,0,300710,649402,8358,62697,1021167,0,0,17350,167365,0,0,0,0,0,0,10264,102409,0,43866,410635,125597,46168,16166,81347,0,1021167
SHIELD,150000,0,150000,62000,0,0,-46973,0,15027,462414,0,42804,520245,366351,0,8093,21946,0,0,0,0,0,0,0,11368,81,0,0,6497,0,926,104983,0,520245
THE MONARCH,154976,-,154976,154976,68181,-,62782,-,285939,-,77713,82511,446163,158000,-,4350,119348,-,-,-,-,-,-,-,75000,-,1000,-,-,36401,1244,46895,3925,446163
CAPEX LIFE,150000,-,150000,161063,30449,-,322,-,191834,101093,-,24968,317895,268500,-,12173,23586,-,-,-,-,-,-,3810,2001,-,-,-,881,-,285,6597,62,317895
UAP LLIFE,191456,0,191456,191456,0,0,-414161,36171,-186535,3009191,16887,87837,2927380,620000,0,21112,899071,0,97825,0,0,0,0,617753,0,0,376495,0,54120,124828,34594,81583,0,2927380
TOTAL,5746935,587379,5159556,5082619,2886732,2575473,121839,5323301,15989964,107638798,1266017,3712851,128607630,4645013,1141638,971956,54589028,6000,1105908,0,0,0,2955912,18932475,4529595,1468311,18007138,15351495,543625,653287,1537293,1954143,214814,128607630
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
UNNAMED: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLO,150000,0,150000,150000,65888,0,0,231885,447773,355493,741061,48036,1592363,0,320000,9203,541550,0,0,0,0,0,41880,444055,3046,,82039,88400,0,19248,17153,25789,0,1592363
BRITAK,180000,,180000,180000,0,0,0,5927256,6107256,11975016,0,419144,18501416,202469,1344934,136230,2085091,0,3802718,0,0,0,8093296,,1613392,,520887,0,62759,60526,340380,238734,,18501416
CANNON,150000,0,150000,150000,0,232756,0,292734,675490,414733,0,124566,1214789,55000,454783,5347,283626,0,10000,,0,0,0,183878,99233,0,90493,0,0,0,3477,24635,4317,1214789
CFC LIFE,152340,0,152340,152340,755672,1000683,478879,0,2387574,10613748,57222,491978,13550522,621051,125000,336272,5769315,0,0,0,0,0,298184,2581245,746340,0,1141589,1145754,4877,89437,367293,189976,134189,13550522
COOPERA- TIVE,236219,0,236219,236219,0,35621,0,560001,831841,1123963,0,426012,2381816,110950,249050,105552,565350,0,0,0,0,0,0,73826,189497,0,640769,165920,91655,4853,129920,54474,0,2381816
CORPO- RATE,150000,0,150000,150000,0,0,0,5646,155646,219382,1819,3286,380133,0,223636,492,77759,0,0,0,0,0,0,2130,30108,0,20403,0,0,0,24567,1038,0,380133
EAST AF- RICA RE,150000,0,150000,150000,0,0,51765,0,201765,195720,0,51677,449162,0,0,0,52983,0,10206,0,0,0,0,30919,0,0,332267,0,4406,1970,808,15603,0,449162
FIRST AS- SURANCE,150000,0,150000,150000,0,0,0,25308,175308,101269,32310,4286,313173,0,0,1074,75835,,14471,0,0,0,0,20040,0,0,85309,0,18348,0,6199,91897,0,313173
GEMINIA,150000,0,150000,150000,0,0,0,0,150000,149184,0,5874,305058,0,0,0,73100,0,6000,0,0,0,0,0,0,0,108500,10890,0,0,7158,99410,0,305058
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
UNNAMED: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN,400000,13265,386735,386735,0,0,191160,-343754,234141,11896,192129,38112,476278,0,0,91265,247170,0,0,,,,,37317,,,74056,,12590,2631,4876,6373,,476278
OLD MUTUAL,1000000,275014,724986,724986,1159971,0,-587755,72434,1369636,7864134,0,265175,9498945,207174,505000,67236,2707425,0,0,0,0,0,2839009,251495,271005,0,1353093,173123,19410,0,970528,125298,9149,9498945
PAN AF- RICA LIFE,500000,300000,200000,200000,0,,30260,74327,304587,8430238,62537,464477,9261839,0,435600,77647,4338530,0,0,0,0,0,0,1607417,983991,0,1610023,0,106915,47417,0,54299,0,9261839
PIONEER,150000,0,150000,150000,0,0,59844,61066,270910,551191,13042,51452,886595,0,348791,15538,169845,0,0,0,0,0,0,11782,0,0,49353,115085,78880,16426,14410,66485,0,886595
SHIELD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
THE MONACH,154976,0,154976,154976,0,52181,51586,0,258743,0,78432,88611,425786,245000,0,5624,54731,0,0,0,0,0,0,0,0,0,1000,0,,57452,2628,54266,5085,425786
