,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID_UP_CAPITAL,STATUTORY_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS_(NET),ALL_OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID_UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENT_IN_SUBSIDIARY,UNQUOTED_ORDINARY_SHARES,QUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE_INSURERS,REINSURERS'_SHARE_OF_TECHNICAL_LIABILITIES,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,,GENERAL_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),AMOUNTS_IN_'000'_KES,FIGURES_IN_THOUSANDS_KSHS.
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,,Amounts in KES '000',,,,,,,
APOLLO,150000,-,150000,150000,41950,-1747,-,119378,309581,502838,1171254,55253,2038926,-,285000,7007,673359,-,-,-,-,-,41880,483856,4680,-,395827,78133,-,5151,34687,1261,28085,-,2038926,,,,,,,,
BRITAM,180000,-,180000,180000,1583093,3204840,164448,301,5132682,18326572,-,683818,24143072,334870,1917900,263188,5227310,-,-,-,-,-,-,7558878,1640167,-,829924,5480040,192611,48912,137829,209429,214135,87879,24143072,,,,,,,,
CANNON,150000,-,150000,150000,357165,-,333964,-,841129,518651,-,89600,1449380,70000,552985,4186,345200,-,19504,-,-,-,-,153919,136705,-,134915,-,473,-,3825,6611,13928,7129,1449380,,,,,,,,
CAPEX,150000,,150000,150000,39178,-,-,48793,237971,61274,26316,65549,391110,-,313000,9870,22863,-,-,-,-,-,-,4431,2009,-,-,-,1085,-,-,32553,5240,59,391110,,,,,,,,
CFC LIFE,612340,-,612340,612340,823030,707609,-237214,100000,2005765,15503299,8078,574745,18091887,711271,443249,262651,8617559,-,-,-,-,-,332,823493,894400,19753,4190975,1390617,35278,27383,130506,237864,243376,63180,18091887,,,,,,,,
CIC LIFE,700000,-,700000,700000,849115,-,-,136698,1685813,2121709,-,345979,4153501,142980,322020,147889,1037482,-,-,-,-,-,-,88239,199885,-,1597967,206937,82050,10084,92939,61512,163517,-,4153501,,,,,,,,
CORPORATE,150000,-,150000,150000,51378,-,-,-,201378,340017,3189,4468,549052,-,240000,538,116365,-,-,-,-,-,-,1404,32658,-,112488,-,-,82,1169,42759,1589,-,549052,,,,,,,,
EAST  AFRICA RE,150000,-,150000,150000,-,-,-,-,150000,401628,-,130156,681784,-,-,-,167792,-,-,-,-,-,-,-,-,-,449628,8935,12629,-,18981,23819,-,-,681784,,,,,,,,
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,,Amounts in KES '000',,,,,,,
FIRST ASSURANCE,150000,-,150000,150000,67807,-,-,-,217807,70404,14659,396,303266,-,60000,133,73024,-,-,-,-,-,-,10377,-,-,70261,11193,1567,-,61591,3172,11948,-,303266,,,,,,,,
GEMINIA,150000,-,150000,150000,-,-,-,-,150000,238201,-,25995,414196,-,-,-,159100,-,5250,-,-,-,-,-,1203,-,214589,-,-,13170,2648,8538,9698,-,414196,,,,,,,,
ICEA  LION LIFE,150000,-,150000,150000,2706764,-,-,-,2856764,26214664,-,499089,29570517,-,6322600,23288,16164378,-,,-,-,-,9822,3272518,413996,-,1613134,1367097,-,62213,41308,153442,126721,-,29570517,,,,,,,,
JUBILEE,200000,-,200000,200000,1213394,-,-,448785,1862179,21761984,40796,611515,24276474,-,2668000,30383,10131503,-,-,-,-,-,2282403,4220407,414071,-,2739585,658440,259716,25485,159362,349146,337973,-,24276474,,,,,,,,
KENINDIA,161388,-,161388,161388,318516,,36797,-,516701,13642112,-,133145,14291958,701121,-,9914,11291718,-,-,-,-,-,675,171077,80887,-,1927788,-,-,37172,-,56349,15257,-,14291958,,,,,,,,
