,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets,Amounts in thousand Shillings                                                                                                                                                                                         ,Amounts in thousand Shillings                                                                                                                                                                                               ,Amounts in Thousand Shillings
ABSA LIFE ASSURANCE KENYA ,699000.0,0.0,0.0,314168.0,0.0,0.0,1013168.0,0.0,3279111.0,400000.0,898285.0,5590564.0,0.0,0.0,29298.0,4286439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184833.0,150154.0,850253.0,11586.0,78001.0,0.0,5590564.0,,,
APA LIFE ASSURANCE COMPANY,700000.0,0.0,95.0,73636.0,-101459.0,0.0,672272.0,280263.0,5600351.0,23859.0,198324.0,6775070.0,0.0,155000.0,10653.0,4988056.0,37535.0,0.0,70324.0,0.0,0.0,125157.0,18631.0,0.0,0.0,36252.0,0.0,832863.0,99619.0,287211.0,25309.0,61579.0,26880.0,6775070.0,,,
BRITAM LIFE ASSURANCE,400000.0,0.0,0.0,0.0,300000.0,5454465.0,6154465.0,700805.0,85142730.0,2337627.0,1726575.0,96062202.0,112315.0,6200813.0,83143.0,64077516.0,0.0,885166.0,0.0,0.0,0.0,6932613.0,30108.0,0.0,0.0,2167183.0,1156003.0,782375.0,366635.0,753729.0,698744.0,10878417.0,937442.0,96062202.0,,,
CAPEX LIFE ASSURANCE COMPANY ,345000.0,0.0,1613.0,-31211.0,0.0,823.0,316225.0,5373.0,568413.0,0.0,54446.0,944457.0,0.0,702500.0,14043.0,59940.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,42578.0,84635.0,0.0,34919.0,3841.0,944457.0,,,
CIC LIFE ASSURANCE COMPANY,800000.0,0.0,0.0,1183825.0,71861.0,49613.0,2105299.0,757370.0,12545850.0,508616.0,651135.0,16568270.0,0.0,2181875.0,39805.0,7865347.0,753991.0,0.0,181283.0,11985.0,0.0,778670.0,4038.0,0.0,0.0,566979.0,48836.0,2017745.0,152138.0,836162.0,442099.0,685971.0,1346.0,16568270.0,,,
CONTINENTAL REINSURANCE,500000.0,0.0,75.0,21057.0,0.0,233161.0,754293.0,123327.0,0.0,65045.0,65547.0,1008212.0,0.0,0.0,0.0,884224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14962.0,11679.0,67015.0,0.0,30333.0,0.0,1008212.0,,,
CORPORATE INSURANCE COMPANY ,200000.0,0.0,0.0,-176537.0,0.0,0.0,23463.0,160283.0,636109.0,0.0,50194.0,870049.0,0.0,590400.0,1187.0,106982.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,0.0,0.0,33086.0,0.0,90947.0,12225.0,6026.0,22240.0,2999.0,3205.0,870049.0,,,
EAST AFRICA REINSURANCE ,500000,0,0,0,0,627274,1127274,340049,150931,270448,108599,1997301,0,0,0,1005954,0,0,61150,0,0,17040,0,0,0,0,0,452410,46437,131438,116090,52911,113870,1997301,Continued next page,,
GA LIFE INSURANCE COMPANY,200000.0,0.0,0.0,165074.0,98119.0,0.0,463193.0,4606.0,14421898.0,70746.0,96092.0,15056535.0,0.0,1095300.0,2237.0,12935744.0,0.0,0.0,36455.0,0.0,0.0,153960.0,0.0,0.0,0.0,2712.0,0.0,424756.0,21019.0,4506.0,0.0,375217.0,4629.0,15056535.0,,,
GEMINIA INSURANCE COMPANY,400000.0,0.0,0.0,142613.0,0.0,0.0,542613.0,204343.0,1095070.0,64373.0,136596.0,2042995.0,0.0,0.0,75.0,753040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7837.0,0.0,798146.0,21152.0,462605.0,0.0,140.0,0.0,2042995.0,,,
ICEA LION LIFE ASSURANCE COMPANY,450000.0,0.0,0.0,9960170.0,2953262.0,0.0,13363432.0,158489.0,86585335.0,1857321.0,1440549.0,103405126.0,0.0,10610000.0,99609.0,78160387.0,0.0,1246846.0,430390.0,0.0,0.0,7664125.0,1005.0,0.0,0.0,608708.0,604372.0,2960618.0,90822.0,0.0,130517.0,791370.0,6356.0,103405126.0,,,
JUBILEE INSURANCE COMPANY LIMITED-LIFE,500000.0,0.0,0.0,2042638.0,5230690.0,0.0,7773329.0,1148836.0,80793465.0,938924.0,1699263.0,92353817.0,0.0,4466000.0,26545.0,71378291.0,0.0,2114042.0,0.0,0.0,0.0,3353179.0,5371674.0,0.0,1091718.0,1022204.0,0.0,1293932.0,604826.0,448475.0,725291.0,429957.0,27681.0,92353817.0,,,
KENINDIA ASSURANCE COMPANY ,400000.0,0.0,-322.0,1484373.0,40268.0,832199.0,2756518.0,145904.0,42478812.0,0.0,465325.0,45846559.0,2012755.0,1006496.0,16953.0,42057649.0,0.0,0.0,52555.0,0.0,0.0,105247.0,198.0,0.0,0.0,113003.0,4239.0,69648.0,79766.0,664.0,306509.0,0.0,20877.0,45846559.0,,,
KENYA ORIENT LIFE ASSURANCE,313000.0,0.0,0.0,80628.0,50532.0,0.0,444160.0,7711.0,1684118.0,34555.0,24915.0,2195459.0,0.0,264800.0,9797.0,1189838.0,0.0,0.0,68365.0,64296.0,0.0,0.0,54067.0,0.0,0.0,16097.0,0.0,401544.0,5744.0,94811.0,0.0,20838.0,5262.0,2195459.0,,,
KENYA REINSURANCE CORPORATION,500000.0,0.0,0.0,6344673.0,0.0,-61630.0,6783043.0,0.0,2721542.0,0.0,2565140.0,12069724.0,0.0,1714775.0,0.0,4517371.0,0.0,0.0,0.0,0.0,0.0,285210.0,0.0,0.0,0.0,0.0,0.0,5193473.0,5477.0,143586.0,0.0,0.0,209833.0,12069724.0,,,
KUSCCO MUTUAL ASSURANCE LIMITED,400100.0,0.0,0.0,96630.0,0.0,1700.0,498430.0,331302.0,247586.0,0.0,383924.0,1461242.0,0.0,0.0,27738.0,344875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72113.0,35568.0,240051.0,623514.0,83546.0,33837.0,1461242.0,,,
LIBERTY LIFE ASSURANCE,612340.0,0.0,384946.0,2223014.0,-304170.0,0.0,2916131.0,343748.0,19557712.0,1117705.0,565909.0,24501205.0,694400.0,1154850.0,79663.0,15051260.0,0.0,0.0,0.0,0.0,0.0,3046601.0,69054.0,0.0,0.0,1062696.0,399731.0,2118338.0,265315.0,144270.0,178212.0,77372.0,159444.0,24501205.0,,,
MADISON INSURANCE COMPANY ,450000.0,0.0,0.0,-111573.0,62000.0,0.0,400427.0,166667.0,14994634.0,0.0,240077.0,15801806.0,0.0,6359000.0,51489.0,5431718.0,18359.0,0.0,25776.0,0.0,0.0,30413.0,1901326.0,0.0,0.0,76767.0,85758.0,789618.0,187362.0,73920.0,588924.0,173349.0,8027.0,15801806.0,,,
METROPOLITAN CANNON INSURANCE,416726,491067,2500,0,-1243669,539255,205878,238624,1302914,206294,186057,2139768,92500,819000,8409,768353,0,0,0,0,0,40323,94,0,0,4725,13369,215363,17604,19610,0,138385,2033,2139768,,Continued next page,
OLD MUTUAL ASSURANCE COMPANY ,2174871.0,1884957.0,0.0,0.0,-2661167.0,0.0,1398660.0,319481.0,11087982.0,0.0,1213549.0,14019672.0,0.0,2140000.0,51087.0,7004827.0,7166.0,0.0,0.0,0.0,0.0,1207615.0,331904.0,0.0,0.0,130051.0,8656.0,2182523.0,333095.0,100331.0,185953.0,333227.0,3238.0,14019672.0,,,
PIONEER ASSURANCE COMPANY,400000.0,0.0,0.0,368034.0,120204.0,0.0,888239.0,1082513.0,3883289.0,184297.0,652991.0,6691328.0,0.0,1512000.0,27465.0,914043.0,0.0,100000.0,0.0,0.0,0.0,51337.0,0.0,0.0,0.0,177578.0,0.0,412800.0,711223.0,2456154.0,208917.0,94445.0,25367.0,6691328.0,,,
PRUDENTIAL LIFE ASSURANCE,414685.0,2676286.0,0.0,0.0,-2217704.0,0.0,873266.0,13991.0,859993.0,0.0,210319.0,1957569.0,0.0,0.0,51991.0,1560107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34716.0,0.0,109770.0,38565.0,9218.0,0.0,116366.0,36837.0,1957569.0,,,
SAHAM INSURANCE COMPANY,150000.0,0.0,0.0,0.0,0.0,3474.0,153474.0,10150.0,293389.0,0.0,40914.0,497928.0,0.0,77000.0,44.0,187563.0,0.0,0.0,28283.0,0.0,0.0,0.0,0.0,0.0,0.0,6980.0,0.0,189983.0,-4124.0,7161.0,0.0,5038.0,0.0,497928.0,,,
SANLAM LIFE INSURANCE,843138.0,30260.0,0.0,1323581.0,867469.0,0.0,3064448.0,0.0,20768649.0,567250.0,1775452.0,26175798.0,0.0,2830000.0,162328.0,20488185.0,48806.0,0.0,0.0,0.0,0.0,80144.0,0.0,0.0,0.0,370268.0,81648.0,1012497.0,429379.0,378005.0,0.0,127558.0,166981.0,26175798.0,,,
THE KENYAN ALLIANCE INSURANCE ,500000.0,0.0,0.0,6000.0,0.0,-291855.0,214145.0,104269.0,2974847.0,0.0,0.0,3293260.0,134091.0,1909914.0,5.0,213950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642461.0,20274.0,33204.0,130584.0,208777.0,0.0,3293260.0,,,
THE MONARCH INSURANCE COMPANY ,154976.0,0.0,0.0,49785.0,-55712.0,1114.0,150163.0,176372.0,353621.0,0.0,81169.0,761325.0,0.0,317698.0,16350.0,89410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2697.0,0.0,145904.0,8935.0,178979.0,0.0,309.0,1043.0,761325.0,,,
UAP LIFE ASSURANCE COMPANY,1585456.0,0.0,27534.0,206894.0,-269776.0,0.0,1550108.0,797908.0,9536901.0,88669.0,841797.0,12815382.0,0.0,815000.0,24550.0,8670443.0,0.0,0.0,0.0,0.0,0.0,218950.0,17267.0,0.0,0.0,46825.0,56926.0,2026181.0,400289.0,433524.0,16966.0,88460.0,0.0,12815382.0,,,
TOTAL,15009292.0,5082570.0,416440.0,25767472.0,2940747.0,7389594.0,56606114.0,7622386.0,423565251.0,8735730.0,16373144.0,512902623.0,3046061.0,46922421.0,834463.0,354991511.0,865857.0,4346054.0,954581.0,76282.0,0.0,24090585.0,7800118.0,0.0,1091718.0,6487364.0,2459539.0,25437801.0,4153757.0,8245545.0,4411455.0,14889484.0,1798027.0,512902623.0,,,
Unnamed: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurers,13909192.0,5082570.0,416365.0,25484711.0,2842628.0,7154733.0,54890198.0,7163151.0,408895767.0,8599939.0,15827581.0,495376634.0,3046061.0,45827121.0,804488.0,340826668.0,865857.0,4346054.0,918126.0,76282.0,0.0,23936625.0,7800118.0,0.0,1091718.0,6484652.0,2459539.0,24925970.0,4085491.0,7933973.0,3787941.0,14400388.0,1759561.0,495376634.0,,,
Reinsurers,1100100.0,0.0,75.0,282761.0,98119.0,234861.0,1715916.0,459235.0,14669484.0,135791.0,545563.0,17525989.0,0.0,1095300.0,29975.0,14164843.0,0.0,0.0,36455.0,0.0,0.0,153960.0,0.0,0.0,0.0,2712.0,0.0,511831.0,68266.0,311572.0,623514.0,489096.0,38466.0,17525989.0,,,
ABSA LIFE ASSURANCE KENYA ,699000.0,0.0,0.0,258704.0,0.0,0.0,957704.0,0.0,2060156.0,0.0,1041688.0,4059547.0,0.0,0.0,41532.0,3176886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201697.0,21123.0,58731.0,89572.0,470006.0,0.0,4059547.0,,,
APA LIFE ASSURANCE COMPANY,700000.0,0.0,0.0,82879.0,-165962.0,0.0,616918.0,110981.0,4996207.0,28550.0,212270.0,5964926.0,0.0,155000.0,13276.0,3999459.0,35923.0,0.0,20098.0,110111.0,0.0,335196.0,7613.0,0.0,0.0,35792.0,0.0,964305.0,29655.0,140762.0,45911.0,71827.0,0.0,5964926.0,,,
BRITAM LIFE ASSURANCE,400000.0,0.0,0.0,0.0,0.0,9408044.0,9808044.0,475696.0,71998988.0,3735019.0,1728876.0,87746623.0,134616.0,6582479.0,132457.0,49873256.0,0.0,1736329.0,451371.0,0.0,0.0,9869702.0,45146.0,0.0,0.0,1825068.0,1171696.0,1311185.0,61657.0,628241.0,1213704.0,11668051.0,1041664.0,87746623.0,,,
CAPEX LIFE ASSURANCE COMPANY ,345000.0,0.0,1613.0,-32014.0,0.0,823.0,315422.0,6240.0,505467.0,0.0,51800.0,878929.0,0.0,592000.0,9080.0,129363.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,31725.0,72824.0,0.0,35495.0,3441.0,878929.0,,,
CIC LIFE ASSURANCE COMPANY,800000.0,0.0,0.0,1123620.0,71861.0,17401.0,2012883.0,597944.0,10936927.0,482814.0,664618.0,14695187.0,0.0,2181875.0,73139.0,6573791.0,679642.0,0.0,195023.0,37355.0,0.0,916274.0,11139.0,0.0,0.0,513479.0,57883.0,1478296.0,158713.0,661651.0,443907.0,710408.0,2611.0,14695187.0,,,
CONTINENTAL REINSURANCE,300000.0,0.0,119.0,21057.0,0.0,261331.0,582507.0,204844.0,0.0,47757.0,109362.0,944469.0,0.0,0.0,0.0,553167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74690.0,4206.0,245360.0,0.0,67047.0,0.0,944469.0,,,
